inventory_id,product_id,store_id,warehouse_id,location_type,stock_qty,reorder_point,max_stock,days_on_hand,last_updated,stockout_risk,demand_30d,avg_daily_demand,days_cover,reorder_urgency,overstock_flag,health_score,risk_label
INV000001,P02620,S0131,,store,362,86,430,72.4,2024-01-13,0,1.0,0.1,3620.0,0,0,100.0,Healthy
INV000002,P02704,,W002,warehouse,339,59,295,16.9,2024-12-30,0,5.0,0.17,1994.1,0,1,85.0,Healthy
INV000003,P00169,,W021,warehouse,479,37,185,34.2,2024-01-17,0,5.0,0.17,2817.6,0,1,85.0,Healthy
INV000004,P02842,S0043,,store,377,37,185,26.9,2024-12-08,0,3.0,0.1,3770.0,0,1,85.0,Healthy
INV000005,P04269,S0014,,store,74,43,215,14.8,2024-12-30,0,3.0,0.1,740.0,0,0,100.0,Healthy
INV000006,P02680,,W001,warehouse,171,55,275,10.1,2024-03-27,0,2.0,0.07,2442.9,0,0,100.0,Healthy
INV000007,P03603,,W006,warehouse,478,24,120,159.3,2024-06-11,0,1.0,0.1,4780.0,0,1,85.0,Healthy
INV000008,P04386,S0070,,store,234,42,210,18.0,2024-11-13,0,1.0,0.1,2340.0,0,1,85.0,Healthy
INV000009,P02072,,W008,warehouse,147,33,165,8.6,2024-08-04,0,2.0,0.07,2100.0,0,0,100.0,Healthy
INV000010,P03867,S0056,,store,46,42,210,5.8,2024-09-23,0,2.0,0.07,657.1,0,0,100.0,Healthy
INV000011,P00597,S0035,,store,327,34,170,19.2,2024-04-29,0,3.0,0.1,3270.0,0,1,85.0,Healthy
INV000012,P02000,,W028,warehouse,71,82,410,7.1,2024-06-11,1,8.0,0.27,263.0,1,0,75.0,Healthy
INV000013,P03799,S0005,,store,489,49,245,163.0,2024-03-26,0,1.0,0.03,16300.0,0,1,85.0,Healthy
INV000014,P01941,,W017,warehouse,310,87,435,155.0,2024-08-10,0,1.0,0.03,10333.3,0,0,100.0,Healthy
INV000015,P04341,,W001,warehouse,152,74,370,8.4,2024-08-22,0,4.0,0.13,1169.2,0,0,100.0,Healthy
INV000016,P03198,S0071,,store,56,23,115,7.0,2024-02-29,0,2.0,0.07,800.0,0,0,100.0,Healthy
INV000017,P02747,,W016,warehouse,267,89,445,14.8,2024-08-07,0,3.0,0.1,2670.0,0,0,100.0,Healthy
INV000018,P00358,S0119,,store,200,97,485,200.0,2024-09-06,0,1.0,0.03,6666.7,0,0,100.0,Healthy
INV000019,P03565,,W025,warehouse,484,64,320,25.5,2024-09-08,0,4.0,0.13,3723.1,0,1,85.0,Healthy
INV000020,P01698,S0112,,store,443,41,205,26.1,2024-03-08,0,1.0,0.03,14766.7,0,1,85.0,Healthy
INV000021,P04439,S0076,,store,315,45,225,24.2,2024-05-04,0,6.0,0.2,1575.0,0,1,85.0,Healthy
INV000022,P03681,,W003,warehouse,499,96,480,31.2,2024-07-10,0,1.0,0.1,4990.0,0,1,85.0,Healthy
INV000023,P00799,S0042,,store,339,66,330,37.7,2024-04-17,0,1.0,0.03,11300.0,0,1,85.0,Healthy
INV000024,P02509,S0109,,store,365,86,430,22.8,2024-09-08,0,4.0,0.13,2807.7,0,0,100.0,Healthy
INV000025,P01890,S0045,,store,280,54,270,18.7,2024-06-25,0,4.0,0.13,2153.8,0,1,85.0,Healthy
INV000026,P00739,S0006,,store,137,85,425,8.1,2024-08-01,0,5.0,0.17,805.9,0,0,100.0,Healthy
INV000027,P04410,,W029,warehouse,495,44,220,41.2,2024-11-07,0,5.0,0.17,2911.8,0,1,85.0,Healthy
INV000028,P00760,,W030,warehouse,85,68,340,8.5,2024-03-22,0,3.0,0.1,850.0,0,0,100.0,Healthy
INV000029,P03973,S0052,,store,299,55,275,37.4,2024-05-11,0,3.0,0.1,2990.0,0,1,85.0,Healthy
INV000030,P04044,,W009,warehouse,328,74,370,29.8,2024-05-31,0,1.0,0.03,10933.3,0,0,100.0,Healthy
INV000031,P03834,S0072,,store,187,56,280,62.3,2024-04-10,0,4.0,0.13,1438.5,0,0,100.0,Healthy
INV000032,P00005,S0111,,store,421,79,395,52.6,2024-10-21,0,4.0,0.13,3238.5,0,1,85.0,Healthy
INV000033,P04127,,W028,warehouse,500,93,465,125.0,2024-03-21,0,5.0,0.17,2941.2,0,1,85.0,Healthy
INV000034,P01722,S0003,,store,333,45,225,33.3,2024-07-07,0,3.0,0.1,3330.0,0,1,85.0,Healthy
INV000035,P02890,S0132,,store,408,31,155,34.0,2024-04-10,0,1.0,0.03,13600.0,0,1,85.0,Healthy
INV000036,P01275,S0058,,store,275,97,485,91.7,2024-07-21,0,1.0,0.1,2750.0,0,0,100.0,Healthy
INV000037,P03727,,W008,warehouse,441,44,220,31.5,2024-03-18,0,3.0,0.1,4410.0,0,1,85.0,Healthy
INV000038,P01822,,W025,warehouse,155,40,200,10.3,2024-01-25,0,1.0,0.03,5166.7,0,0,100.0,Healthy
INV000039,P04615,S0066,,store,268,44,220,13.4,2024-09-06,0,6.0,0.2,1340.0,0,1,85.0,Healthy
INV000040,P03312,,W014,warehouse,352,97,485,70.4,2024-07-10,0,1.0,0.03,11733.3,0,0,100.0,Healthy
INV000041,P03101,,W007,warehouse,350,54,270,31.8,2024-02-28,0,2.0,0.07,5000.0,0,1,85.0,Healthy
INV000042,P04522,S0103,,store,177,38,190,12.6,2024-10-18,0,7.0,0.23,769.6,0,0,100.0,Healthy
INV000043,P03312,S0008,,store,283,91,455,15.7,2024-09-28,0,1.0,0.03,9433.3,0,0,100.0,Healthy
