product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams,margin_pct,total_qty_sold,total_revenue,avg_sale_price,avg_discount,n_transactions,online_share,avg_rating,review_count,pct_positive,pct_negative,return_count,total_stock,avg_days_on_hand,stockout_locations,return_rate,sell_through_rate,velocity_class,category_enc,sub_category_enc,brand_enc,season_enc,style_tag_enc,color_enc
P00001,Allen Solly T-Shirt White,Tops,T-Shirt,Allen Solly,Cream,L,office,Summer,2375,3284.73,1289.58,2021-07-13,True,SUP0235,1641,45.7,91,180473.58,2206.945283018868,0.07150943396226415,53,0.6037735849056604,3.619047619047619,21,61.904761904761905,9.523809523809524,13.0,1384.0,22.66,1.0,0.1429,0.0617,C,8,54,3,3,6,5
P00002,Zara Loafers White,Footwear,Loafers,Zara,Mustard,XL,sporty,Winter,3143,4109.43,1148.48,2020-01-04,True,SUP0185,601,63.46,96,275141.44,2942.5560714285716,0.06482142857142857,56,0.75,4.15,20,75.0,15.0,14.0,682.0,30.73333333333333,0.0,0.1458,0.1234,B,5,32,49,4,8,10
P00003,Libas T-Shirt Green,Tops,T-Shirt,Libas,Brown,S,sporty,Festive,455,658.21,247.67,2022-06-01,True,SUP0070,1982,45.57,89,39745.79,449.82423728813563,0.06016949152542373,59,0.7627118644067796,3.9166666666666665,12,66.66666666666666,16.666666666666664,11.0,985.0,36.4,0.0,0.1236,0.0829,C,8,54,24,1,8,3
P00004,Marks & Spencer Sports Bra Orange,Activewear,Sports Bra,Marks & Spencer,Pink,XS,casual,All Season,4478,5096.3,1819.16,2021-11-17,True,SUP0140,335,59.38,113,527389.96,4471.4066216216215,0.06013513513513514,74,0.6756756756756757,3.272727272727273,22,50.0,36.36363636363637,5.0,1147.0,32.93333333333333,0.0,0.0442,0.0897,A,1,50,28,0,1,14
P00005,Allen Solly Oxford Coral,Footwear,Oxford,Allen Solly,Olive,S,sporty,Summer,1352,1813.48,683.25,2022-09-14,True,SUP0120,1180,49.46,84,97761.19,1230.9805660377358,0.0709433962264151,53,0.6415094339622641,3.6666666666666665,12,66.66666666666666,16.666666666666664,6.0,1368.0,29.525000000000002,0.0,0.0714,0.0579,C,5,35,3,3,8,12
P00006,Forever 21 Dhoti Purple,Ethnic Wear,Dhoti,Forever 21,Brown,L,sporty,Summer,3150,3614.82,1764.98,2021-02-03,True,SUP0069,1827,43.97,97,306686.02,3526.60015625,0.05671875,64,0.75,3.4285714285714284,21,57.14285714285714,33.33333333333333,5.0,1875.0,47.5,1.0,0.0515,0.0492,B,4,16,14,3,8,3
P00007,Here&Now Shorts Navy,Bottoms,Shorts,Here&Now,Teal,XXL,office,All Season,2238,2589.22,918.26,2020-10-10,True,SUP0099,429,58.97,91,162933.92,1929.4082258064516,0.06403225806451614,62,0.6290322580645161,3.4444444444444446,18,55.55555555555556,22.22222222222222,9.0,2541.0,39.833333333333336,0.0,0.0989,0.0346,C,2,46,17,0,6,17
P00008,Myntra Dhoti Brown,Ethnic Wear,Dhoti,Myntra,Coral,S,sporty,Monsoon,3718,4197.66,2198.19,2024-03-03,True,SUP0021,279,40.88,84,271303.42,3617.924727272727,0.043454545454545454,55,0.6545454545454545,3.6,10,50.0,20.0,3.0,1479.0,25.8,2.0,0.0357,0.0537,C,4,16,29,2,8,4
P00009,All About You Jewellery Navy,Accessories,Jewellery,All About You,Cream,XXL,party,Summer,2605,3316.15,1486.77,2022-09-03,True,SUP0039,249,42.93,69,164778.44,2651.5032,0.055600000000000004,50,0.7,4.277777777777778,18,77.77777777777779,11.11111111111111,7.0,1610.0,28.580000000000002,1.0,0.1014,0.0411,C,0,26,2,3,7,5
P00010,Dressberry Thermal Innerwear Teal,Innerwear,Thermal Innerwear,Dressberry,Yellow,S,ethnic,Winter,482,716.87,189.02,2024-05-20,True,SUP0141,1906,60.78,92,36984.27,424.02234375,0.05828125,64,0.6875,3.8,20,70.0,20.0,5.0,1817.0,64.16666666666667,0.0,0.0543,0.0482,C,6,56,12,4,2,19
