movement_id,inventory_id,from_location,to_location,quantity,movement_date,reason,approved_by
MV0000001,INV022777,W002,W005,69,2023-10-18,Damage Write-off,E00998
MV0000002,INV023622,W018,W006,89,2024-12-03,Inter-store Transfer,E01340
MV0000003,INV001667,W027,W023,170,2024-08-30,Damage Write-off,E01713
MV0000004,INV004996,W020,W029,190,2024-08-28,Return,E02326
MV0000005,INV009409,W003,W021,184,2023-05-07,Inter-store Transfer,E01271
MV0000006,INV010298,W013,W013,67,2023-07-27,Replenishment,E01916
MV0000007,INV006071,W001,W027,36,2022-07-11,Replenishment,E02330
MV0000008,INV021926,W011,W018,167,2024-11-30,Replenishment,E01186
MV0000009,INV006413,W025,W004,179,2023-05-03,Replenishment,E00181
MV0000010,INV015083,W021,W030,190,2024-06-27,Return,E00701
MV0000011,INV009908,W006,W004,104,2024-12-15,Damage Write-off,E02421
MV0000012,INV014970,W030,W030,55,2022-07-20,Replenishment,E02448
MV0000013,INV011397,W012,W017,78,2022-09-22,Stocktake Adjustment,E00561
MV0000014,INV023878,W012,W005,2,2022-04-05,Damage Write-off,E01095
MV0000015,INV003953,W027,W023,53,2023-02-04,Inter-store Transfer,E02114
MV0000016,INV001801,W027,W008,41,2023-11-26,Inter-store Transfer,E00710
MV0000017,INV000557,W029,W001,113,2023-10-15,Inter-store Transfer,E00637
MV0000018,INV019646,W019,W027,89,2023-01-08,Return,E00356
MV0000019,INV022086,W021,W006,168,2024-12-31,Stocktake Adjustment,E01353
MV0000020,INV007047,W019,W019,141,2022-08-15,Return,E00783
MV0000021,INV000094,W028,W013,95,2024-02-11,Stocktake Adjustment,E00977
MV0000022,INV015957,W002,W015,189,2022-06-23,Return,E02074
MV0000023,INV011139,W020,W009,177,2024-11-01,Return,E01308
MV0000024,INV004875,W010,W010,107,2022-07-19,Damage Write-off,E00159
MV0000025,INV023665,W001,W028,24,2022-06-10,Inter-store Transfer,E01636
MV0000026,INV022207,W029,W023,93,2023-11-27,Inter-store Transfer,E02326
MV0000027,INV020947,W007,W015,108,2022-10-22,Stocktake Adjustment,E01159
MV0000028,INV013682,W021,W028,50,2023-06-09,Stocktake Adjustment,E00333
MV0000029,INV001811,W023,W007,74,2024-08-09,Inter-store Transfer,E00320
MV0000030,INV014616,W011,W029,63,2024-08-22,Inter-store Transfer,E00994
MV0000031,INV010806,W024,W021,106,2023-10-29,Replenishment,E02087
MV0000032,INV020550,W008,W024,133,2022-06-11,Damage Write-off,E01553
MV0000033,INV021888,W029,W002,31,2022-06-26,Stocktake Adjustment,E01548
MV0000034,INV017093,W017,W021,146,2024-08-31,Return,E02386
MV0000035,INV012457,W021,W010,166,2024-12-26,Stocktake Adjustment,E01238
MV0000036,INV023859,W030,W017,28,2023-11-25,Replenishment,E02029
MV0000037,INV011802,W018,W002,122,2023-02-04,Damage Write-off,E00508
MV0000038,INV013876,W005,W005,191,2022-12-30,Damage Write-off,E02239
MV0000039,INV000369,W011,W016,2,2022-12-13,Inter-store Transfer,E01685
MV0000040,INV006209,W005,W014,93,2024-08-07,Return,E01532
MV0000041,INV002407,W004,W020,66,2023-02-09,Replenishment,E00476
MV0000042,INV007074,W015,W019,29,2022-08-12,Replenishment,E01392
MV0000043,INV012382,W012,W019,134,2022-12-17,Inter-store Transfer,E00011
MV0000044,INV000194,W010,W029,200,2024-03-21,Return,E01733
MV0000045,INV002695,W007,W007,132,2024-10-29,Return,E02151
MV0000046,INV009193,W001,W019,60,2024-12-19,Damage Write-off,E00470
MV0000047,INV000353,W006,W020,174,2023-01-29,Damage Write-off,E01798
MV0000048,INV015318,W018,W006,75,2024-05-08,Stocktake Adjustment,E00265
MV0000049,INV002017,W007,W018,164,2022-05-25,Replenishment,E01915
