product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams,margin_pct
P00001,Allen Solly T-Shirt White,Tops,T-Shirt,Allen Solly,Cream,L,office,Summer,2375,3284.73,1289.58,2021-07-13,True,SUP0235,1641,45.7
P00002,Zara Loafers White,Footwear,Loafers,Zara,Mustard,XL,sporty,Winter,3143,4109.43,1148.48,2020-01-04,True,SUP0185,601,63.46
P00003,Libas T-Shirt Green,Tops,T-Shirt,Libas,Brown,S,sporty,Festive,455,658.21,247.67,2022-06-01,True,SUP0070,1982,45.57
P00004,Marks & Spencer Sports Bra Orange,Activewear,Sports Bra,Marks & Spencer,Pink,XS,casual,All Season,4478,5096.3,1819.16,2021-11-17,True,SUP0140,335,59.38
P00005,Allen Solly Oxford Coral,Footwear,Oxford,Allen Solly,Olive,S,sporty,Summer,1352,1813.48,683.25,2022-09-14,True,SUP0120,1180,49.46
P00006,Forever 21 Dhoti Purple,Ethnic Wear,Dhoti,Forever 21,Brown,L,sporty,Summer,3150,3614.82,1764.98,2021-02-03,True,SUP0069,1827,43.97
P00007,Here&Now Shorts Navy,Bottoms,Shorts,Here&Now,Teal,XXL,office,All Season,2238,2589.22,918.26,2020-10-10,True,SUP0099,429,58.97
P00008,Myntra Dhoti Brown,Ethnic Wear,Dhoti,Myntra,Coral,S,sporty,Monsoon,3718,4197.66,2198.19,2024-03-03,True,SUP0021,279,40.88
P00009,All About You Jewellery Navy,Accessories,Jewellery,All About You,Cream,XXL,party,Summer,2605,3316.15,1486.77,2022-09-03,True,SUP0039,249,42.93
P00010,Dressberry Thermal Innerwear Teal,Innerwear,Thermal Innerwear,Dressberry,Yellow,S,ethnic,Winter,482,716.87,189.02,2024-05-20,True,SUP0141,1906,60.78
P00011,Biba Sports Shoes White,Footwear,Sports Shoes,Biba,Yellow,XS,casual,Festive,5512,7298.79,2097.05,2021-06-03,True,SUP0337,955,61.95
P00012,Myntra Jeans Cream,Bottoms,Jeans,Myntra,Orange,XXL,minimalist,Festive,3754,5380.97,2090.26,2023-02-23,True,SUP0369,487,44.32
P00013,Nike Puffer Jacket Red,Outerwear,Puffer Jacket,Nike,Orange,M,streetwear,Festive,14568,21074.55,8540.77,2021-02-28,False,SUP0133,716,41.37
P00014,Nykaa Fashion Jacket White,Outerwear,Jacket,Nykaa Fashion,Teal,XS,minimalist,Winter,7544,9108.88,3177.04,2022-10-08,True,SUP0305,1615,57.89
P00015,Pepe Jeans Wallet Blue,Accessories,Wallet,Pepe Jeans,Orange,Free Size,minimalist,Monsoon,881,988.71,372.46,2020-02-14,True,SUP0020,157,57.72
P00016,Mango Maxi Dress Mint,Dresses,Maxi Dress,Mango,Purple,L,streetwear,Monsoon,2499,2795.21,962.0,2022-07-26,True,SUP0356,1865,61.5
