promo_id,product_id,promo_type,discount_pct,channel,target_segment,start_date,end_date,budget,is_active,duration_days
PR000001,P01346,Bundle,0.53,Online,Family Shopper,2022-06-24,2022-07-07,333903,False,13
PR000002,P02435,BOGO,0.4,Online,Student,2022-05-04,2022-05-14,123785,True,10
PR000003,P04694,Free Shipping,0.21,Both,Brand Loyalist,2023-05-12,2023-06-04,312867,False,23
PR000004,P02540,Cashback,0.1,Both,Luxury Shopper,2022-05-20,2022-06-13,429487,True,24
PR000005,P03742,Bundle,0.31,Online,Student,2024-01-20,2024-02-03,166257,True,14
PR000006,P01625,Flat Discount,0.41,Offline,Budget Shopper,2024-02-21,2024-03-18,125198,False,26
PR000007,P04050,Flat Discount,0.29,Offline,Seasonal Buyer,2023-05-27,2023-06-21,32734,False,25
PR000008,P04333,BOGO,0.31,Both,Frequent Buyer,2023-12-04,2023-12-22,350634,True,18
PR000009,P01702,BOGO,0.45,Both,Family Shopper,2024-11-04,2024-11-10,220805,False,6
PR000010,P04945,Free Shipping,0.12,Online,Working Professional,2023-08-12,2023-09-05,11116,True,24
PR000011,P04820,Free Shipping,0.41,Online,Brand Loyalist,2022-05-25,2022-05-29,344513,False,4
PR000012,P02618,BOGO,0.53,Online,Family Shopper,2024-03-30,2024-04-07,366578,True,8
PR000013,P00737,BOGO,0.23,Online,Seasonal Buyer,2024-12-03,2024-12-31,491106,False,28
PR000014,P03703,BOGO,0.48,Online,Seasonal Buyer,2024-03-12,2024-04-06,45619,True,25
PR000015,P01581,Cashback,0.53,Both,Luxury Shopper,2024-07-25,2024-08-16,255627,False,22
PR000016,P04929,Bundle,0.6,Online,Impulse Buyer,2022-08-05,2022-08-31,293443,False,26
PR000017,P00672,Flat Discount,0.51,Offline,Seasonal Buyer,2022-04-14,2022-05-13,174527,True,29
PR000018,P04000,Flat Discount,0.05,Both,Brand Loyalist,2022-10-11,2022-10-16,330654,False,5
PR000019,P01295,Percentage Off,0.54,Offline,Budget Shopper,2022-02-25,2022-03-04,142853,True,7
PR000020,P02029,BOGO,0.49,Both,Family Shopper,2024-04-09,2024-04-17,465127,True,8
PR000021,P04065,Cashback,0.33,Online,Seasonal Buyer,2024-12-21,2025-01-18,471190,True,28
PR000022,P01332,Flat Discount,0.54,Offline,Seasonal Buyer,2023-10-23,2023-11-19,387318,False,27
PR000023,P01345,Bundle,0.5,Offline,Working Professional,2023-12-10,2023-12-16,107098,True,6
PR000024,P01854,Percentage Off,0.24,Offline,Impulse Buyer,2023-04-11,2023-05-11,341765,True,30
PR000025,P02919,Flat Discount,0.38,Online,Frequent Buyer,2023-12-15,2024-01-07,268551,True,23
PR000026,P04414,Flat Discount,0.57,Online,Working Professional,2024-02-19,2024-02-23,299177,True,4
PR000027,P00891,Free Shipping,0.49,Online,Seasonal Buyer,2024-02-20,2024-03-13,330792,False,22
PR000028,P01662,BOGO,0.49,Both,Family Shopper,2023-10-30,2023-11-04,194194,True,5
PR000029,P01041,BOGO,0.17,Online,Frequent Buyer,2023-03-21,2023-04-12,62927,True,22
PR000030,P03692,Bundle,0.46,Both,Seasonal Buyer,2023-01-28,2023-02-25,50487,False,28
