shipment_id,order_id,supplier_id,warehouse_id,product_id,quantity,ship_date,expected_arrival,actual_arrival,status,carrier,freight_cost,delay_days
SHP000001,ORD0151476,SUP0267,W001,P00682,3,2023-06-08,2023-06-20,2023-06-24,Delayed,Ekart,422.63,4
SHP000002,ORD0198907,SUP0156,W018,P03939,1,2023-06-08,2023-06-22,2023-06-24,Delivered,Delhivery,63.96,2
SHP000003,ORD0051377,SUP0378,W008,P00450,3,2024-06-19,2024-06-26,2024-06-29,In Transit,DTDC,195.5,3
SHP000004,ORD0017742,SUP0130,W017,P01198,1,2024-01-24,2024-02-01,2024-01-31,Delivered,Shadowfax,353.9,-1
SHP000005,ORD0109270,SUP0170,W026,P03857,3,2022-11-14,2022-11-27,2022-12-02,Delayed,Shadowfax,155.52,5
SHP000006,ORD0152512,SUP0316,W001,P02139,2,2022-03-23,2022-03-31,2022-03-29,Delivered,DTDC,338.42,-2
SHP000007,ORD0048766,SUP0362,W015,P01170,3,2023-02-18,2023-02-21,2023-02-25,Delayed,DTDC,233.73,4
SHP000008,ORD0095545,SUP0024,W017,P00214,2,2024-05-29,2024-06-09,2024-06-07,Delivered,Ekart,355.22,-2
SHP000009,ORD0153287,SUP0206,W030,P00867,1,2022-05-13,2022-05-22,2022-05-25,Delivered,Ekart,57.97,3
SHP000010,ORD0064441,SUP0108,W025,P01125,2,2024-03-20,2024-03-23,2024-03-23,Delivered,DTDC,291.93,0
SHP000011,ORD0006015,SUP0010,W017,P00396,2,2023-06-24,2023-06-28,2023-06-30,Delivered,Shadowfax,158.87,2
SHP000012,ORD0083675,SUP0245,W024,P01093,1,2022-03-24,2022-03-31,2022-04-01,Delivered,Blue Dart,189.22,1
SHP000013,ORD0015525,SUP0217,W006,P02046,1,2023-06-20,2023-06-25,2023-06-30,Delivered,Ekart,121.96,5
SHP000014,ORD0058802,SUP0055,W009,P04809,3,2024-02-11,2024-02-21,2024-02-24,Delivered,Ekart,200.9,3
SHP000015,ORD0123974,SUP0044,W007,P03887,2,2023-03-07,2023-03-16,2023-03-19,Delivered,Delhivery,391.66,3
SHP000016,ORD0089681,SUP0151,W002,P01597,2,2024-02-12,2024-02-27,2024-03-02,In Transit,Shadowfax,463.93,4
SHP000017,ORD0022313,SUP0002,W013,P02629,2,2024-07-21,2024-07-24,2024-07-27,Delivered,DTDC,396.6,3
SHP000018,ORD0068175,SUP0281,W028,P01367,2,2022-03-31,2022-04-05,2022-04-08,Delivered,DTDC,415.06,3
SHP000019,ORD0092298,SUP0335,W001,P03075,3,2022-03-26,2022-03-30,2022-03-30,Delivered,Shadowfax,410.88,0
SHP000020,ORD0149071,SUP0392,W028,P00786,1,2023-09-22,2023-09-24,2023-09-25,Delivered,DTDC,142.66,1
SHP000021,ORD0177547,SUP0026,W008,P02545,2,2023-02-18,2023-02-28,2023-03-04,In Transit,Shadowfax,320.32,4
SHP000022,ORD0167555,SUP0030,W027,P00507,3,2023-02-23,2023-03-07,2023-03-06,Delivered,DTDC,456.42,-1
SHP000023,ORD0002623,SUP0158,W025,P01081,3,2023-10-31,2023-11-12,2023-11-14,Delivered,Shadowfax,72.27,2
SHP000024,ORD0181007,SUP0217,W011,P00605,2,2024-10-24,2024-11-04,2024-11-03,Delivered,Ekart,472.98,-1
SHP000025,ORD0069101,SUP0301,W010,P02280,2,2024-10-12,2024-10-24,2024-10-25,Delivered,Blue Dart,287.8,1
