cart_id,customer_id,product_id,quantity,added_at,status
CART0000001,C02615,P00660,1,2024-08-24 10:00:00,Purchased
CART0000002,C01367,P03784,3,2024-12-03 11:00:00,Purchased
CART0000003,C09541,P04989,2,2023-03-20 15:00:00,Abandoned
CART0000004,C09667,P01177,3,2022-01-18 07:00:00,Purchased
CART0000005,C03449,P04926,2,2022-03-16 02:00:00,Active
CART0000006,C03270,P03881,3,2024-04-17 04:00:00,Purchased
CART0000007,C05343,P02102,2,2022-09-03 11:00:00,Active
CART0000008,C06043,P00421,2,2022-05-07 08:00:00,Purchased
CART0000009,C07501,P02381,3,2022-02-13 07:00:00,Abandoned
CART0000010,C03477,P04861,3,2024-02-04 16:00:00,Expired
CART0000011,C04588,P04591,1,2024-08-22 07:00:00,Purchased
CART0000012,C00341,P04135,1,2024-10-31 06:00:00,Purchased
CART0000013,C04542,P00109,1,2024-05-19 17:00:00,Active
CART0000014,C02377,P04631,1,2023-02-26 02:00:00,Active
CART0000015,C03881,P01346,4,2024-12-06 05:00:00,Purchased
CART0000016,C06033,P02034,1,2024-04-20 06:00:00,Abandoned
CART0000017,C01910,P03256,3,2022-07-03 16:00:00,Abandoned
CART0000018,C00508,P00363,3,2023-07-01 07:00:00,Abandoned
CART0000019,C04941,P04668,1,2022-12-05 14:00:00,Purchased
CART0000020,C00406,P04180,4,2022-03-19 17:00:00,Purchased
CART0000021,C06682,P02646,1,2024-11-18 21:00:00,Abandoned
CART0000022,C03705,P04761,2,2023-07-12 22:00:00,Abandoned
CART0000023,C00323,P01694,1,2022-04-16 08:00:00,Abandoned
CART0000024,C04847,P00353,1,2023-09-14 00:00:00,Abandoned
CART0000025,C02732,P00788,4,2023-05-26 10:00:00,Purchased
CART0000026,C04251,P00962,3,2022-06-15 12:00:00,Abandoned
CART0000027,C06336,P03082,1,2022-03-12 01:00:00,Abandoned
CART0000028,C01046,P02926,4,2023-11-14 22:00:00,Abandoned
CART0000029,C02059,P03920,3,2023-08-22 07:00:00,Active
CART0000030,C05041,P04455,1,2023-08-09 22:00:00,Abandoned
CART0000031,C08161,P02091,3,2024-08-15 08:00:00,Active
CART0000032,C03014,P03960,2,2024-12-30 16:00:00,Purchased
CART0000033,C04805,P01909,4,2023-12-07 19:00:00,Purchased
CART0000034,C00321,P00601,1,2024-02-02 09:00:00,Expired
CART0000035,C03825,P03256,4,2023-12-23 02:00:00,Purchased
CART0000036,C02521,P02733,4,2024-06-10 13:00:00,Purchased
CART0000037,C02888,P01992,2,2022-01-08 06:00:00,Abandoned
CART0000038,C00143,P04668,1,2023-02-25 18:00:00,Abandoned
CART0000039,C01950,P03380,4,2023-10-18 09:00:00,Purchased
CART0000040,C08032,P00385,4,2024-01-12 12:00:00,Purchased
CART0000041,C05991,P00702,3,2024-06-22 10:00:00,Abandoned
CART0000042,C09005,P04980,1,2022-03-23 21:00:00,Purchased
CART0000043,C08435,P02181,2,2022-07-14 10:00:00,Purchased
CART0000044,C07738,P01648,2,2023-01-18 00:00:00,Active
CART0000045,C00590,P00115,1,2024-10-20 06:00:00,Purchased
CART0000046,C08270,P03508,1,2023-03-22 07:00:00,Purchased
CART0000047,C04163,P02073,4,2024-09-11 15:00:00,Purchased
CART0000048,C01163,P01208,2,2022-02-20 14:00:00,Purchased
CART0000049,C09356,P00283,3,2024-01-02 14:00:00,Purchased
CART0000050,C05831,P01433,3,2023-01-14 00:00:00,Purchased
CART0000051,C01651,P04450,2,2024-02-01 17:00:00,Purchased
CART0000052,C07394,P03140,3,2022-03-31 18:00:00,Purchased
CART0000053,C09462,P03209,4,2022-06-06 01:00:00,Active
CART0000054,C00005,P02718,4,2024-12-16 00:00:00,Purchased
CART0000055,C09391,P01969,4,2023-10-26 20:00:00,Purchased
CART0000056,C07122,P00530,1,2022-10-09 00:00:00,Purchased
