warehouse_id,warehouse_name,city,region,capacity_sqft,type,is_active
W001,Bhopal DC 1,Bhopal,Central,382810,Regional Hub,True
W002,Bengaluru DC 2,Bengaluru,South,296420,Regional Hub,True
W003,Bhopal DC 3,Bhopal,Central,224749,Regional Hub,True
W004,Hyderabad DC 4,Hyderabad,South,499699,Fulfilment Centre,True
W005,Surat DC 5,Surat,West,265820,Dark Store,True
W006,Nagpur DC 6,Nagpur,Central,201109,Dark Store,True
W007,Chandigarh DC 7,Chandigarh,North,476542,Dark Store,True
W008,Delhi DC 8,Delhi,North,288459,Fulfilment Centre,True
W009,Surat DC 9,Surat,West,182329,Regional Hub,True
W010,Hyderabad DC 10,Hyderabad,South,455037,Regional Hub,True
W011,Patna DC 11,Patna,East,482499,Fulfilment Centre,True
W012,Vadodara DC 12,Vadodara,West,292208,Regional Hub,True
W013,Delhi DC 13,Delhi,North,148347,Dark Store,True
W014,Kochi DC 14,Kochi,South,376439,Regional Hub,True
W015,Indore DC 15,Indore,Central,448453,Fulfilment Centre,True
W016,Pune DC 16,Pune,West,190014,Dark Store,True
W017,Chennai DC 17,Chennai,South,201010,Regional Hub,True
W018,Nagpur DC 18,Nagpur,Central,113662,Fulfilment Centre,True
W019,Agra DC 19,Agra,North,469070,Fulfilment Centre,True
W020,Kolkata DC 20,Kolkata,East,212922,Dark Store,True
W021,Mumbai DC 21,Mumbai,West,339538,Regional Hub,True
W022,Bengaluru DC 22,Bengaluru,South,167807,Fulfilment Centre,True
W023,Indore DC 23,Indore,Central,111586,Dark Store,True
W024,Chennai DC 24,Chennai,South,311292,Dark Store,True
W025,Lucknow DC 25,Lucknow,North,316795,Dark Store,True
W026,Jaipur DC 26,Jaipur,North,267836,Regional Hub,True
W027,Nagpur DC 27,Nagpur,Central,177785,Regional Hub,True
W028,Vadodara DC 28,Vadodara,West,125834,Regional Hub,True
W029,Pune DC 29,Pune,West,364246,Dark Store,True
W030,Chennai DC 30,Chennai,South,86600,Regional Hub,True
