date,city,temperature_c,rainfall_mm,humidity_pct,weather_condition
2022-01-01,Mumbai,26.3,0.9,84,Cloudy
2022-01-02,Mumbai,23.3,2.0,45,Rainy
2022-01-03,Mumbai,21.2,0.0,88,Cloudy
2022-01-04,Mumbai,21.3,6.8,50,Sunny
2022-01-05,Mumbai,21.4,0.0,50,Sunny
2022-01-06,Mumbai,23.0,0.0,47,Cloudy
2022-01-07,Mumbai,24.1,0.0,83,Sunny
2022-01-08,Mumbai,21.2,3.3,47,Cloudy
2022-01-09,Mumbai,20.7,6.7,75,Cloudy
2022-01-10,Mumbai,19.2,0.0,76,Rainy
2022-01-11,Mumbai,18.8,0.0,85,Cloudy
2022-01-12,Mumbai,17.3,6.1,85,Sunny
2022-01-13,Mumbai,22.7,1.8,55,Sunny
2022-01-14,Mumbai,20.5,0.0,94,Sunny
2022-01-15,Mumbai,17.2,0.6,49,Cloudy
2022-01-16,Mumbai,14.4,0.0,91,Cloudy
2022-01-17,Mumbai,17.0,11.0,95,Sunny
2022-01-18,Mumbai,23.0,5.4,50,Rainy
2022-01-19,Mumbai,19.9,2.0,51,Cloudy
2022-01-20,Mumbai,17.2,0.0,80,Foggy
2022-01-21,Mumbai,21.6,1.7,49,Sunny
2022-01-22,Mumbai,22.1,4.1,57,Cloudy
2022-01-23,Mumbai,19.2,0.0,95,Cloudy
2022-01-24,Mumbai,22.4,5.3,63,Cloudy
2022-01-25,Mumbai,18.9,0.0,83,Sunny
2022-01-26,Mumbai,19.7,1.4,42,Cloudy
2022-01-27,Mumbai,22.4,1.5,85,Cloudy
2022-01-28,Mumbai,20.3,4.6,85,Sunny
2022-01-29,Mumbai,15.6,10.9,84,Rainy
2022-01-30,Mumbai,20.2,9.9,42,Rainy
2022-01-31,Mumbai,20.2,0.0,66,Sunny
2022-02-01,Mumbai,22.2,3.1,52,Sunny
2022-02-02,Mumbai,21.0,1.8,85,Rainy
2022-02-03,Mumbai,20.7,11.3,69,Sunny
2022-02-04,Mumbai,16.8,6.0,79,Cloudy
2022-02-05,Mumbai,20.8,3.4,41,Cloudy
2022-02-06,Mumbai,21.3,1.9,83,Rainy
2022-02-07,Mumbai,18.1,0.0,70,Sunny
2022-02-08,Mumbai,20.6,0.9,50,Cloudy
2022-02-09,Mumbai,22.0,1.0,90,Sunny
2022-02-10,Mumbai,20.1,15.0,74,Rainy
2022-02-11,Mumbai,22.7,4.0,50,Sunny
2022-02-12,Mumbai,25.3,6.9,47,Sunny
2022-02-13,Mumbai,21.0,2.1,65,Cloudy
2022-02-14,Mumbai,16.1,9.1,93,Foggy
2022-02-15,Mumbai,14.2,9.7,42,Sunny
2022-02-16,Mumbai,17.9,0.0,45,Cloudy
2022-02-17,Mumbai,20.9,0.0,43,Sunny
2022-02-18,Mumbai,18.8,10.3,56,Sunny
2022-02-19,Mumbai,27.6,4.9,65,Foggy
2022-02-20,Mumbai,18.4,0.0,52,Rainy
2022-02-21,Mumbai,17.5,0.1,59,Cloudy
2022-02-22,Mumbai,17.6,5.8,48,Rainy
2022-02-23,Mumbai,17.6,5.5,93,Sunny
2022-02-24,Mumbai,19.5,4.7,53,Rainy
2022-02-25,Mumbai,16.6,0.0,87,Sunny
2022-02-26,Mumbai,17.4,0.0,57,Cloudy
2022-02-27,Mumbai,22.9,5.6,72,Cloudy
2022-02-28,Mumbai,23.6,0.3,71,Foggy
2022-03-01,Mumbai,24.2,0.0,46,Rainy
2022-03-02,Mumbai,29.5,0.8,55,Rainy
2022-03-03,Mumbai,32.0,0.0,82,Cloudy
2022-03-04,Mumbai,27.0,0.0,52,Cloudy
2022-03-05,Mumbai,30.1,0.0,86,Foggy
2022-03-06,Mumbai,35.3,1.2,51,Rainy
2022-03-07,Mumbai,26.6,0.0,55,Sunny
2022-03-08,Mumbai,27.9,5.4,92,Sunny
2022-03-09,Mumbai,27.6,0.1,85,Rainy
2022-03-10,Mumbai,30.1,0.0,65,Sunny
2022-03-11,Mumbai,30.3,1.5,95,Sunny
2022-03-12,Mumbai,27.1,0.0,76,Cloudy
2022-03-13,Mumbai,22.7,2.0,65,Cloudy
2022-03-14,Mumbai,32.2,0.0,57,Rainy
2022-03-15,Mumbai,34.3,0.0,61,Foggy
2022-03-16,Mumbai,26.6,4.8,63,Cloudy
2022-03-17,Mumbai,30.4,1.8,64,Foggy
2022-03-18,Mumbai,25.1,0.0,91,Sunny
2022-03-19,Mumbai,28.6,5.9,45,Sunny
2022-03-20,Mumbai,27.9,3.0,84,Foggy
2022-03-21,Mumbai,21.9,0.0,79,Foggy
2022-03-22,Mumbai,27.6,4.0,61,Sunny
2022-03-23,Mumbai,26.7,3.6,90,Foggy
2022-03-24,Mumbai,25.3,0.0,94,Sunny
2022-03-25,Mumbai,33.2,9.4,40,Sunny
