wishlist_id,customer_id,product_id,added_date,is_purchased
WL0000001,C03285,P01242,2024-06-18,False
WL0000002,C01352,P04997,2024-02-11,True
WL0000003,C09914,P03642,2024-12-27,False
WL0000004,C02106,P00222,2022-10-12,False
WL0000005,C01269,P01399,2022-09-05,False
WL0000006,C03506,P02105,2022-08-29,False
WL0000007,C06825,P01699,2023-03-03,False
WL0000008,C03968,P00757,2024-09-05,False
WL0000009,C06677,P01065,2022-12-19,True
WL0000010,C03742,P02693,2022-05-06,True
WL0000011,C07321,P04004,2023-01-19,False
WL0000012,C01133,P00646,2022-01-03,False
WL0000013,C02756,P03998,2023-01-13,False
WL0000014,C09031,P04572,2024-06-19,False
WL0000015,C05732,P04301,2023-06-06,False
WL0000016,C01179,P00533,2022-07-18,False
WL0000017,C05110,P03472,2022-08-29,False
WL0000018,C07309,P04530,2024-05-29,False
WL0000019,C01773,P04155,2023-02-18,True
WL0000020,C09022,P02807,2024-12-04,False
WL0000021,C00481,P04475,2022-01-21,True
WL0000022,C07089,P01017,2023-02-16,True
WL0000023,C06315,P02550,2023-02-02,True
WL0000024,C09150,P03976,2023-10-19,False
WL0000025,C07292,P00250,2022-12-05,True
WL0000026,C00319,P01660,2022-06-10,False
WL0000027,C01763,P04827,2022-11-08,True
WL0000028,C05243,P00883,2023-02-03,False
WL0000029,C02452,P01316,2022-10-05,False
WL0000030,C05635,P02847,2024-03-23,True
WL0000031,C08372,P02049,2023-11-09,False
WL0000032,C09426,P00931,2024-05-02,True
WL0000033,C00190,P01023,2024-01-05,False
WL0000034,C01226,P03005,2022-09-02,False
WL0000035,C06308,P02637,2023-10-27,True
WL0000036,C09535,P00648,2022-08-18,True
WL0000037,C09503,P02661,2022-05-22,False
WL0000038,C04729,P04898,2022-11-20,False
WL0000039,C05009,P00098,2024-12-12,True
WL0000040,C04526,P00221,2022-09-06,True
WL0000041,C05472,P01473,2023-12-18,True
WL0000042,C08017,P04896,2022-04-25,True
WL0000043,C08520,P01748,2024-10-11,False
WL0000044,C00478,P01645,2023-05-29,False
WL0000045,C05165,P03320,2022-03-27,False
WL0000046,C00637,P00050,2022-04-09,False
WL0000047,C07977,P02374,2023-04-19,False
WL0000048,C00866,P02506,2023-06-06,False
WL0000049,C08820,P01827,2023-01-28,False
WL0000050,C03402,P02735,2024-08-25,True
WL0000051,C00944,P03339,2022-06-27,False
WL0000052,C05597,P03211,2022-06-09,True
WL0000053,C08996,P02500,2024-07-01,False
WL0000054,C08098,P04661,2022-12-07,False
WL0000055,C01520,P03101,2023-10-23,True
WL0000056,C06888,P00472,2022-06-29,True
WL0000057,C09865,P02165,2024-02-27,False
WL0000058,C08613,P03163,2024-07-10,True
WL0000059,C03954,P01560,2024-02-09,True
WL0000060,C06109,P00027,2022-01-27,False
