review_id,customer_id,product_id,order_id,rating,review_text,review_date,sentiment_label,is_verified,helpful_votes
REV0000001,C08735,P01630,ORD0032008,5,Perfect for the occasion. Great value for money.,2022-04-23,Positive,True,90
REV0000002,C07217,P04222,ORD0015110,3,Decent product. Meets basic expectations.,2023-01-28,Neutral,True,0
REV0000003,C01819,P02305,ORD0161289,3,Okay for the price. Could be better.,2022-03-24,Neutral,True,56
REV0000004,C07663,P01707,ORD0110744,5,"Excellent product, very happy with the quality!",2024-03-24,Positive,True,6
REV0000005,C06812,P00162,ORD0051944,5,"Amazing product, exactly as described.",2023-09-11,Positive,True,139
REV0000006,C09434,P01390,ORD0183673,5,"Amazing product, exactly as described.",2023-06-19,Positive,True,44
REV0000007,C03143,P03509,ORD0108489,4,Loved the color and fabric. Will buy again.,2022-04-30,Positive,True,57
REV0000008,C08367,P01603,ORD0015909,2,Wrong size delivered. Very disappointed.,2023-07-27,Negative,True,9
REV0000009,C00132,P01293,ORD0116068,4,Perfect for the occasion. Great value for money.,2024-01-26,Positive,True,33
REV0000010,C04668,P03958,ORD0118369,2,Color faded after first wash. Not as shown in picture.,2022-11-07,Negative,True,2
REV0000011,C03889,P01088,ORD0000260,4,Fast delivery and great fit. Highly recommend.,2022-01-16,Positive,True,2
REV0000012,C07100,P00652,ORD0018054,5,Loved the color and fabric. Will buy again.,2024-01-21,Positive,True,149
REV0000013,C03468,P02955,ORD0066298,5,"Amazing product, exactly as described.",2023-02-07,Positive,True,10
REV0000014,C01301,P03178,ORD0032941,5,"Amazing product, exactly as described.",2022-05-23,Positive,True,120
REV0000015,C01337,P00706,ORD0001151,5,Perfect for the occasion. Great value for money.,2022-04-04,Positive,True,100
REV0000016,C08375,P00577,ORD0022749,3,Decent product. Meets basic expectations.,2022-01-28,Neutral,False,47
REV0000017,C01367,P01502,ORD0108463,4,Fast delivery and great fit. Highly recommend.,2022-09-09,Positive,True,24
REV0000018,C09286,P00908,ORD0100442,5,Perfect for the occasion. Great value for money.,2022-01-10,Positive,True,129
REV0000019,C03985,P03543,ORD0041026,5,Loved the color and fabric. Will buy again.,2024-07-22,Positive,True,9
REV0000020,C06992,P02514,ORD0088822,5,"Excellent product, very happy with the quality!",2024-09-25,Positive,False,30
REV0000021,C07684,P03995,ORD0173907,3,Material is fine but delivery was slow.,2023-07-27,Neutral,True,37
REV0000022,C08004,P00323,ORD0097514,5,"Excellent product, very happy with the quality!",2022-01-08,Positive,True,107
REV0000023,C02322,P00595,ORD0100204,3,Decent product. Meets basic expectations.,2022-02-10,Neutral,True,25
REV0000024,C06509,P01155,ORD0120420,4,"Amazing product, exactly as described.",2022-09-14,Positive,False,32
REV0000025,C02766,P02969,ORD0138004,5,Perfect for the occasion. Great value for money.,2023-04-25,Positive,True,146
REV0000026,C07748,P03476,ORD0191196,5,Fast delivery and great fit. Highly recommend.,2022-03-19,Positive,True,32
REV0000027,C09533,P04868,ORD0033431,4,"Excellent product, very happy with the quality!",2023-01-10,Positive,True,9
REV0000028,C06781,P03959,ORD0100999,4,"Amazing product, exactly as described.",2022-09-08,Positive,False,129
REV0000029,C07988,P03446,ORD0167827,5,Fast delivery and great fit. Highly recommend.,2023-01-25,Positive,True,132
REV0000030,C00474,P04851,ORD0028909,5,"Amazing product, exactly as described.",2024-06-05,Positive,False,17
REV0000031,C01024,P02898,ORD0013865,4,"Amazing product, exactly as described.",2022-08-09,Positive,True,138
REV0000032,C03020,P00035,ORD0098386,3,Okay for the price. Could be better.,2022-12-15,Neutral,True,87
REV0000033,C06671,P01315,ORD0137799,3,Decent product. Meets basic expectations.,2023-08-26,Neutral,True,75
REV0000034,C09379,P02478,ORD0199655,5,Perfect for the occasion. Great value for money.,2023-07-02,Positive,False,43
REV0000035,C09324,P00714,ORD0058973,4,"Amazing product, exactly as described.",2023-12-01,Positive,False,94
REV0000036,C09876,P00368,ORD0018610,5,Fast delivery and great fit. Highly recommend.,2023-03-04,Positive,True,62
REV0000037,C08853,P02773,ORD0026636,4,Perfect for the occasion. Great value for money.,2022-12-06,Positive,True,76
REV0000038,C04718,P02989,ORD0122105,4,Loved the color and fabric. Will buy again.,2024-09-25,Positive,True,122
REV0000039,C08664,P02361,ORD0163277,5,Loved the color and fabric. Will buy again.,2024-02-25,Positive,True,67
REV0000040,C09500,P04479,ORD0121102,3,Material is fine but delivery was slow.,2022-07-23,Neutral,False,18
REV0000041,C07270,P01571,ORD0194796,3,Material is fine but delivery was slow.,2023-08-10,Neutral,True,10
REV0000042,C02050,P03904,ORD0084934,3,Decent product. Meets basic expectations.,2023-02-08,Neutral,True,59
REV0000043,C03745,P01379,ORD0056748,5,"Excellent product, very happy with the quality!",2024-10-14,Positive,False,121
REV0000044,C03121,P02252,ORD0160223,5,Perfect for the occasion. Great value for money.,2022-05-01,Positive,True,125
REV0000045,C00627,P02872,ORD0174601,5,Perfect for the occasion. Great value for money.,2023-06-28,Positive,False,93
REV0000046,C06165,P00949,ORD0148195,3,Decent product. Meets basic expectations.,2022-06-03,Neutral,True,113
REV0000047,C04579,P04479,ORD0162868,5,Loved the color and fabric. Will buy again.,2023-07-31,Positive,True,140
