session_id,customer_id,login_time,logout_time,duration_mins,device,channel,pages_visited,date
SES0000001,C01445,2022-01-19 05:56:00,2022-01-19 06:25:00,29,Desktop,App,4,2022-01-19
SES0000002,C01677,2024-03-01 01:42:00,2024-03-01 02:09:00,27,Mobile,Web,18,2024-03-01
SES0000003,C08411,2023-09-01 17:24:00,2023-09-01 17:39:00,15,Mobile,App,10,2023-09-01
SES0000004,C01053,2024-06-15 20:54:00,2024-06-15 21:59:00,65,Mobile,Web,7,2024-06-15
SES0000005,C05537,2022-05-19 02:55:00,2022-05-19 04:05:00,70,Mobile,Web,5,2022-05-19
SES0000006,C04398,2024-10-16 04:05:00,2024-10-16 05:12:00,67,Tablet,Web,11,2024-10-16
SES0000007,C03016,2022-05-18 08:45:00,2022-05-18 10:05:00,80,Desktop,App,15,2022-05-18
SES0000008,C02387,2023-08-22 11:08:00,2023-08-22 11:38:00,30,Mobile,App,25,2023-08-22
SES0000009,C04063,2024-03-28 09:23:00,2024-03-28 09:39:00,16,Mobile,Web,20,2024-03-28
SES0000010,C09454,2023-03-09 04:30:00,2023-03-09 05:04:00,34,Mobile,Web,9,2023-03-09
SES0000011,C09020,2022-05-13 13:52:00,2022-05-13 14:21:00,29,Mobile,Web,9,2022-05-13
SES0000012,C03170,2022-06-12 01:12:00,2022-06-12 01:56:00,44,Desktop,Web,19,2022-06-12
SES0000013,C07868,2024-09-03 23:36:00,2024-09-04 00:53:00,77,Desktop,Web,30,2024-09-03
SES0000014,C02165,2024-07-04 05:22:00,2024-07-04 06:25:00,63,Mobile,App,24,2024-07-04
SES0000015,C00846,2024-11-12 15:47:00,2024-11-12 15:50:00,3,Desktop,App,6,2024-11-12
SES0000016,C02452,2023-08-20 01:58:00,2023-08-20 02:49:00,51,Mobile,App,10,2023-08-20
SES0000017,C08375,2023-11-24 10:34:00,2023-11-24 11:14:00,40,Mobile,App,15,2023-11-24
SES0000018,C05657,2022-10-03 04:06:00,2022-10-03 04:16:00,10,Desktop,App,6,2022-10-03
SES0000019,C00021,2024-11-07 13:49:00,2024-11-07 13:55:00,6,Mobile,Web,6,2024-11-07
SES0000020,C04257,2024-07-11 03:20:00,2024-07-11 04:07:00,47,Mobile,App,27,2024-07-11
SES0000021,C09777,2022-04-13 15:24:00,2022-04-13 15:57:00,33,Desktop,Web,18,2022-04-13
SES0000022,C04800,2023-12-07 18:35:00,2023-12-07 18:41:00,6,Mobile,Web,2,2023-12-07
SES0000023,C03650,2023-08-13 13:10:00,2023-08-13 13:43:00,33,Mobile,Web,9,2023-08-13
SES0000024,C07042,2024-12-25 15:58:00,2024-12-25 17:17:00,79,Mobile,Web,1,2024-12-25
SES0000025,C07610,2024-07-13 00:14:00,2024-07-13 01:29:00,75,Mobile,App,4,2024-07-13
SES0000026,C08134,2024-05-05 05:06:00,2024-05-05 05:55:00,49,Tablet,App,29,2024-05-05
