inventory_id,product_id,store_id,warehouse_id,location_type,stock_qty,reorder_point,max_stock,days_on_hand,last_updated
INV000001,P02620,S0131,,store,362,86,430,72.4,2024-01-13
INV000002,P02704,,W002,warehouse,339,59,295,16.9,2024-12-30
INV000003,P00169,,W021,warehouse,479,37,185,34.2,2024-01-17
INV000004,P02842,S0043,,store,377,37,185,26.9,2024-12-08
INV000005,P04269,S0014,,store,74,43,215,14.8,2024-12-30
INV000006,P02680,,W001,warehouse,171,55,275,10.1,2024-03-27
INV000007,P03603,,W006,warehouse,478,24,120,159.3,2024-06-11
INV000008,P04386,S0070,,store,234,42,210,18.0,2024-11-13
INV000009,P02072,,W008,warehouse,147,33,165,8.6,2024-08-04
INV000010,P03867,S0056,,store,46,42,210,5.8,2024-09-23
INV000011,P00597,S0035,,store,327,34,170,19.2,2024-04-29
INV000012,P02000,,W028,warehouse,71,82,410,7.1,2024-06-11
INV000013,P03799,S0005,,store,489,49,245,163.0,2024-03-26
INV000014,P01941,,W017,warehouse,310,87,435,155.0,2024-08-10
INV000015,P04341,,W001,warehouse,152,74,370,8.4,2024-08-22
INV000016,P03198,S0071,,store,56,23,115,7.0,2024-02-29
INV000017,P02747,,W016,warehouse,267,89,445,14.8,2024-08-07
INV000018,P00358,S0119,,store,200,97,485,200.0,2024-09-06
INV000019,P03565,,W025,warehouse,484,64,320,25.5,2024-09-08
INV000020,P01698,S0112,,store,443,41,205,26.1,2024-03-08
INV000021,P04439,S0076,,store,315,45,225,24.2,2024-05-04
INV000022,P03681,,W003,warehouse,499,96,480,31.2,2024-07-10
INV000023,P00799,S0042,,store,339,66,330,37.7,2024-04-17
INV000024,P02509,S0109,,store,365,86,430,22.8,2024-09-08
INV000025,P01890,S0045,,store,280,54,270,18.7,2024-06-25
INV000026,P00739,S0006,,store,137,85,425,8.1,2024-08-01
INV000027,P04410,,W029,warehouse,495,44,220,41.2,2024-11-07
INV000028,P00760,,W030,warehouse,85,68,340,8.5,2024-03-22
INV000029,P03973,S0052,,store,299,55,275,37.4,2024-05-11
INV000030,P04044,,W009,warehouse,328,74,370,29.8,2024-05-31
