order_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,order_date,estimated_delivery,actual_delivery,status,delivery_city,shipping_fee
ORD0000001,C04797,P04950,S0050,1,4364,4364,2023-02-22,2023-02-28,2023-03-01,Delivered,Chennai,0
ORD0000002,C09175,P01776,S0106,3,703,2109,2023-01-24,2023-02-01,2023-02-01,Delivered,Vadodara,49
ORD0000003,C09340,P02498,S0086,1,3933,3933,2024-06-26,2024-07-02,2024-07-01,Delivered,Jaipur,0
ORD0000004,C00532,P02974,S0131,1,787,787,2023-01-14,2023-01-22,2023-01-26,Delivered,Mumbai,0
ORD0000005,C07828,P01424,S0123,1,9528,9528,2024-01-26,2024-02-04,2024-02-08,Delivered,Chennai,0
ORD0000006,C08756,P00388,S0135,1,9024,9024,2022-03-11,2022-03-14,2022-03-17,Returned,Patna,0
ORD0000007,C00448,P03931,S0106,3,3433,10299,2022-10-27,2022-10-30,2022-10-29,Delivered,Agra,0
ORD0000008,C09397,P04061,S0094,1,2362,2362,2023-01-06,2023-01-15,2023-01-17,Delivered,Delhi,49
ORD0000009,C06215,P01602,S0021,2,220,440,2024-02-29,2024-03-02,2024-03-06,Delivered,Jaipur,49
ORD0000010,C03789,P00462,S0001,2,8315,16630,2022-06-03,2022-06-09,2022-06-09,Delivered,Chandigarh,0
ORD0000011,C03697,P01250,S0106,3,3536,10608,2024-07-19,2024-07-26,2024-07-31,Delivered,Ludhiana,0
ORD0000012,C09398,P04981,S0039,2,2650,5300,2023-03-28,2023-04-03,2023-04-06,Delivered,Ludhiana,49
ORD0000013,C06501,P00991,S0141,2,3066,6132,2022-05-10,2022-05-13,2022-05-16,Delivered,Pune,99
ORD0000014,C01289,P04662,S0049,2,389,778,2024-12-18,2024-12-20,2024-12-24,Delivered,Vadodara,99
ORD0000015,C05064,P01126,S0024,2,9544,19088,2023-08-08,2023-08-14,2023-08-15,Delivered,Chandigarh,0
ORD0000016,C07675,P03174,S0075,2,4905,9810,2023-08-06,2023-08-12,2023-08-12,Delivered,Bhopal,0
ORD0000017,C02584,P01083,S0045,3,7908,23724,2023-09-13,2023-09-21,2023-09-20,Delivered,Chennai,0
ORD0000018,C06700,P04628,S0050,1,4260,4260,2024-12-10,2024-12-13,2024-12-18,Delivered,Chennai,0
ORD0000019,C06922,P04180,S0020,2,1297,2594,2022-06-14,2022-06-20,2022-06-22,Delivered,Patna,0
ORD0000020,C01907,P04219,S0076,2,2533,5066,2023-04-30,2023-05-07,2023-05-12,Delivered,Kochi,0
ORD0000021,C04459,P01064,S0125,1,2080,2080,2023-12-07,2023-12-14,2023-12-16,Shipped,Chennai,0
ORD0000022,C01402,P02293,S0044,2,4188,8376,2024-02-21,2024-02-24,2024-02-27,Delivered,Kochi,99
ORD0000023,C07099,P03511,S0097,3,4153,12459,2022-08-25,2022-08-27,2022-08-27,Cancelled,Bengaluru,0
ORD0000024,C04697,P00595,S0121,2,2499,4998,2023-07-06,2023-07-12,2023-07-16,Placed,Bhopal,99
ORD0000025,C02626,P00529,S0074,1,722,722,2023-06-28,2023-07-06,2023-07-08,Delivered,Jaipur,0
ORD0000026,C08597,P01267,S0073,1,3706,3706,2023-12-22,2023-12-24,2023-12-23,Delivered,Pune,0
ORD0000027,C07884,P00542,S0137,3,301,903,2023-08-28,2023-09-02,2023-09-04,Cancelled,Mumbai,99
ORD0000028,C03085,P04859,S0128,3,4580,13740,2023-02-25,2023-03-04,2023-03-08,Delivered,Ludhiana,0
ORD0000029,C01673,P03562,,1,404,404,2024-02-18,2024-02-26,2024-02-25,Confirmed,Hyderabad,0
ORD0000030,C01200,P04764,S0035,2,720,1440,2023-10-04,2023-10-08,2023-10-13,Delivered,Vadodara,49
ORD0000031,C01509,P03351,S0093,2,765,1530,2024-04-29,2024-05-05,2024-05-04,Delivered,Indore,99
ORD0000032,C07388,P01879,S0122,2,579,1158,2023-08-24,2023-08-29,2023-08-31,Delivered,Kolkata,49
ORD0000033,C03152,P00492,S0026,3,747,2241,2022-12-10,2022-12-17,2022-12-18,Delivered,Pune,99
ORD0000034,C07892,P00295,S0079,3,4047,12141,2023-08-07,2023-08-13,2023-08-13,Delivered,Chandigarh,49
ORD0000035,C08802,P00721,S0024,2,4626,9252,2022-03-08,2022-03-13,2022-03-14,Delivered,Ahmedabad,49
ORD0000036,C07683,P04761,S0068,3,4602,13806,2023-03-23,2023-03-31,2023-04-02,Shipped,Mumbai,0
ORD0000037,C01731,P03905,S0078,1,1265,1265,2022-06-15,2022-06-21,2022-06-22,Shipped,Nagpur,49
ORD0000038,C08448,P03491,S0086,3,482,1446,2024-05-12,2024-05-14,2024-05-16,Delivered,Vadodara,49
ORD0000039,C09455,P03377,S0031,3,518,1554,2022-01-13,2022-01-21,2022-01-20,Delivered,Bengaluru,99
ORD0000040,C01299,P02133,S0020,2,701,1402,2024-03-25,2024-03-31,2024-03-30,Delivered,Indore,49
ORD0000041,C00057,P03861,S0041,1,6681,6681,2022-05-23,2022-06-02,2022-06-01,Delivered,Kolkata,0
ORD0000042,C05147,P01428,S0134,3,3338,10014,2022-01-27,2022-01-31,2022-02-04,Delivered,Chennai,49
ORD0000043,C09974,P00929,S0089,2,1334,2668,2023-05-25,2023-06-01,2023-06-04,Shipped,Hyderabad,49
ORD0000044,C05561,P01449,S0003,3,10940,32820,2022-07-03,2022-07-06,2022-07-10,Delivered,Pune,49
ORD0000045,C04734,P03708,S0079,1,3545,3545,2023-05-21,2023-05-27,2023-05-28,Delivered,Bengaluru,49
ORD0000046,C06496,P03617,S0150,1,3651,3651,2024-05-19,2024-05-23,2024-05-25,Delivered,Kochi,99
ORD0000047,C03443,P03032,S0048,2,4479,8958,2023-03-20,2023-03-24,2023-03-29,Returned,Delhi,0
ORD0000048,C08156,P00601,S0053,2,779,1558,2024-06-24,2024-06-29,2024-07-03,Delivered,Nagpur,0
ORD0000049,C03685,P04100,S0092,1,4893,4893,2024-06-22,2024-06-27,2024-06-29,Delivered,Indore,49
ORD0000050,C03982,P01969,S0001,1,4521,4521,2024-10-07,2024-10-15,2024-10-18,Returned,Patna,0
ORD0000051,C00164,P04237,S0113,1,176,176,2024-07-07,2024-07-11,2024-07-12,Delivered,Bhopal,49
ORD0000052,C09083,P02215,S0120,3,2687,8061,2022-11-09,2022-11-12,2022-11-11,Delivered,Kochi,49
ORD0000053,C08190,P02599,S0046,3,779,2337,2024-01-22,2024-01-30,2024-02-03,Delivered,Ahmedabad,0
ORD0000054,C09784,P00745,S0078,1,12047,12047,2023-03-12,2023-03-21,2023-03-25,Delivered,Kolkata,0
ORD0000055,C00877,P02361,S0085,2,2133,4266,2022-10-16,2022-10-23,2022-10-25,Delivered,Ahmedabad,0
ORD0000056,C01801,P01421,S0071,1,5663,5663,2023-08-13,2023-08-21,2023-08-23,Delivered,Chandigarh,0
ORD0000057,C03359,P03275,S0034,3,13379,40137,2024-01-17,2024-01-25,2024-01-24,Delivered,Ahmedabad,99
ORD0000058,C01565,P03081,S0039,3,2300,6900,2022-11-15,2022-11-25,2022-11-25,Delivered,Vadodara,0
ORD0000059,C02057,P02520,S0098,1,466,466,2024-05-28,2024-06-05,2024-06-08,Delivered,Jaipur,0
ORD0000060,C05036,P02806,S0012,3,4843,14529,2022-12-25,2022-12-29,2023-01-03,Delivered,Lucknow,99
ORD0000061,C00599,P01214,S0015,1,875,875,2022-06-22,2022-07-01,2022-07-05,Delivered,Bengaluru,0
ORD0000062,C06952,P00743,S0066,1,4821,4821,2024-11-26,2024-12-03,2024-12-05,Confirmed,Bhopal,0
ORD0000063,C01892,P04841,S0117,3,7283,21849,2023-07-18,2023-07-25,2023-07-26,Delivered,Patna,0
ORD0000064,C04744,P02232,S0127,2,10681,21362,2023-03-19,2023-03-26,2023-03-30,Shipped,Bengaluru,49
ORD0000065,C04563,P01706,S0095,3,3180,9540,2024-01-20,2024-01-30,2024-01-29,Delivered,Vadodara,0
ORD0000066,C09920,P02662,S0146,2,1406,2812,2022-08-04,2022-08-06,2022-08-10,Delivered,Chennai,99
ORD0000067,C07526,P01462,S0128,1,1903,1903,2022-10-08,2022-10-15,2022-10-14,Delivered,Nagpur,0
ORD0000068,C00554,P02240,S0065,2,4542,9084,2023-06-29,2023-07-04,2023-07-06,Delivered,Kolkata,0
ORD0000069,C08344,P04878,S0104,1,3190,3190,2024-03-09,2024-03-17,2024-03-22,Confirmed,Delhi,0
ORD0000070,C06559,P04558,S0035,3,5801,17403,2024-03-02,2024-03-08,2024-03-13,Confirmed,Surat,99
ORD0000071,C05155,P00561,S0125,1,2547,2547,2024-09-29,2024-10-01,2024-09-30,Placed,Kolkata,99
ORD0000072,C04430,P04436,S0022,1,1025,1025,2024-06-17,2024-06-23,2024-06-24,Delivered,Mumbai,49
ORD0000073,C01928,P02422,S0118,1,1987,1987,2023-05-16,2023-05-19,2023-05-22,Confirmed,Agra,49
ORD0000074,C06596,P02207,S0054,3,3082,9246,2024-12-16,2024-12-23,2024-12-27,Delivered,Delhi,0
ORD0000075,C08217,P01837,S0107,2,3250,6500,2024-03-22,2024-03-26,2024-03-27,Delivered,Vadodara,99
ORD0000076,C09520,P01682,S0089,2,2247,4494,2022-02-21,2022-02-27,2022-02-27,Delivered,Jaipur,99
ORD0000077,C06084,P04890,S0138,3,4427,13281,2024-01-21,2024-01-23,2024-01-22,Delivered,Vadodara,99
ORD0000078,C00147,P03604,S0041,3,5677,17031,2023-05-01,2023-05-10,2023-05-13,Confirmed,Surat,0
ORD0000079,C05759,P03200,S0052,1,8361,8361,2022-05-07,2022-05-12,2022-05-16,Delivered,Mumbai,0
ORD0000080,C06481,P02753,S0103,2,2431,4862,2024-03-13,2024-03-17,2024-03-19,Delivered,Delhi,0
ORD0000081,C06563,P00332,S0079,2,4165,8330,2024-08-21,2024-08-27,2024-08-29,Delivered,Bengaluru,0
ORD0000082,C00413,P01707,S0104,2,9322,18644,2023-09-04,2023-09-08,2023-09-10,Shipped,Hyderabad,0
ORD0000083,C01321,P03284,S0069,3,9228,27684,2024-08-08,2024-08-15,2024-08-17,Delivered,Nagpur,0
ORD0000084,C01032,P00136,S0122,3,1667,5001,2024-01-04,2024-01-09,2024-01-14,Delivered,Agra,0
ORD0000085,C09496,P00711,S0115,3,3011,9033,2023-12-23,2023-12-31,2024-01-04,Delivered,Ludhiana,0
ORD0000086,C00465,P00063,S0109,2,230,460,2023-01-01,2023-01-08,2023-01-07,Shipped,Kochi,0
ORD0000087,C06490,P04596,S0091,1,710,710,2023-05-01,2023-05-04,2023-05-05,Delivered,Kochi,49
ORD0000088,C05732,P01892,S0091,2,4968,9936,2024-06-29,2024-07-08,2024-07-12,Delivered,Delhi,49
ORD0000089,C01949,P00464,S0133,1,661,661,2022-11-22,2022-11-28,2022-11-27,Delivered,Pune,0
ORD0000090,C09146,P02203,S0107,3,2403,7209,2023-02-05,2023-02-09,2023-02-13,Delivered,Kolkata,0
ORD0000091,C07581,P01153,S0132,2,395,790,2023-02-21,2023-03-01,2023-02-28,Delivered,Chennai,0
ORD0000092,C06813,P01642,S0084,3,418,1254,2024-03-06,2024-03-10,2024-03-10,Cancelled,Chandigarh,0
ORD0000093,C00925,P01082,S0111,2,663,1326,2023-10-16,2023-10-26,2023-10-31,Shipped,Ludhiana,0
ORD0000094,C00979,P00168,S0003,2,161,322,2024-04-21,2024-04-23,2024-04-26,Confirmed,Bengaluru,0
ORD0000095,C07449,P00016,S0027,3,2499,7497,2022-12-07,2022-12-09,2022-12-08,Delivered,Jaipur,99
ORD0000096,C09045,P03072,S0029,2,4773,9546,2022-08-10,2022-08-15,2022-08-19,Delivered,Hyderabad,0
ORD0000097,C08400,P00926,S0005,2,6697,13394,2023-01-11,2023-01-19,2023-01-21,Returned,Bengaluru,49
ORD0000098,C04281,P01701,S0072,2,1709,3418,2022-07-09,2022-07-18,2022-07-23,Delivered,Kolkata,99
ORD0000099,C08455,P03795,S0079,1,673,673,2024-02-22,2024-02-29,2024-03-01,Delivered,Bhopal,0
