price_id,product_id,store_id,price,price_type,effective_date,created_by
PH0000001,P03766,S0076,2363.56,Promotional,2023-02-05,E02456
PH0000002,P01169,S0068,2066.5,Sale,2022-09-09,E01078
PH0000003,P04114,S0066,185.39,Sale,2022-09-29,E00449
PH0000004,P02982,S0024,3402.9,Regular,2023-01-04,E00638
PH0000005,P01079,S0053,3400.42,Regular,2024-05-18,E02103
PH0000006,P04799,S0130,370.57,Promotional,2022-03-14,E02110
PH0000007,P04888,S0036,582.52,Regular,2024-05-25,E00952
PH0000008,P00724,S0052,244.12,Regular,2023-06-23,E00731
PH0000009,P03520,S0099,4455.57,Regular,2024-11-14,E00106
PH0000010,P01208,S0074,3299.37,Regular,2022-06-15,E01351
PH0000011,P00525,S0140,1768.11,Sale,2024-12-31,E00068
PH0000012,P00668,S0140,7708.7,Regular,2024-07-23,E02044
PH0000013,P03483,S0150,322.77,Clearance,2022-05-12,E00039
PH0000014,P02283,S0117,8592.33,Regular,2024-10-25,E01027
PH0000015,P02513,S0042,6879.6,Regular,2023-03-17,E01966
PH0000016,P01215,S0065,291.06,Regular,2022-06-06,E00390
PH0000017,P04523,S0103,1866.37,Sale,2023-12-19,E02178
PH0000018,P00209,S0029,2220.81,Regular,2023-01-06,E02235
PH0000019,P03874,S0013,351.18,Regular,2024-12-29,E01653
PH0000020,P03427,S0099,8770.68,Regular,2023-05-22,E00610
PH0000021,P02797,S0003,686.17,Regular,2023-11-17,E02210
PH0000022,P01429,S0096,5413.41,Regular,2022-08-22,E01922
PH0000023,P01950,S0039,2483.26,Regular,2023-04-26,E01412
PH0000024,P01759,S0058,1373.18,Regular,2022-11-22,E01269
PH0000025,P00298,S0140,259.21,Sale,2024-06-02,E00794
PH0000026,P00105,S0069,160.58,Clearance,2024-02-02,E01197
PH0000027,P01140,S0113,3499.94,Regular,2023-11-01,E01794
PH0000028,P02825,S0120,8769.4,Flash Sale,2022-03-08,E02322
PH0000029,P01179,S0092,1292.53,Clearance,2024-05-07,E00928
PH0000030,P00368,S0095,3014.85,Regular,2023-07-17,E02137
PH0000031,P03026,S0116,3574.93,Promotional,2024-06-24,E02076
PH0000032,P01154,S0111,2568.74,Sale,2024-10-29,E02183
PH0000033,P04335,S0033,650.69,Sale,2023-07-12,E01257
PH0000034,P04702,S0068,3048.44,Sale,2023-07-08,E01517
PH0000035,P02715,S0041,2983.74,Regular,2023-11-05,E01258
PH0000036,P03477,S0069,918.53,Clearance,2023-02-06,E02172
PH0000037,P01503,S0009,4004.26,Sale,2022-07-06,E00256
PH0000038,P01709,S0103,4036.51,Regular,2022-03-22,E02152
PH0000039,P01599,S0121,6574.61,Promotional,2022-04-01,E00546
PH0000040,P03983,S0031,608.58,Promotional,2024-01-05,E02482
PH0000041,P01633,S0139,147.2,Clearance,2022-02-25,E01094
PH0000042,P04953,S0042,4348.18,Sale,2024-09-20,E01529
PH0000043,P03345,S0124,1673.94,Clearance,2023-02-19,E00862
PH0000044,P01376,S0122,2891.07,Sale,2024-11-03,E00545
PH0000045,P04911,S0109,2263.95,Regular,2022-03-19,E01823
PH0000046,P01744,S0033,4468.34,Regular,2024-09-27,E02280
PH0000047,P00352,S0128,2560.11,Regular,2024-09-27,E00659
PH0000048,P02737,S0039,8513.03,Promotional,2023-06-13,E00418
PH0000049,P00661,S0026,4257.24,Regular,2024-04-25,E01779
PH0000050,P00111,S0028,5363.19,Sale,2022-05-09,E00598
PH0000051,P04881,S0141,1617.72,Sale,2022-12-29,E00704
PH0000052,P04211,S0053,677.23,Regular,2022-01-05,E00991
PH0000053,P03767,S0071,2646.49,Sale,2024-05-05,E00529
PH0000054,P04723,S0024,3426.36,Regular,2024-11-16,E01604
PH0000055,P03724,S0062,1917.34,Promotional,2024-01-24,E00458
PH0000056,P01656,S0150,2888.72,Sale,2022-05-11,E00903
PH0000057,P00085,S0101,476.73,Promotional,2024-11-25,E01462
PH0000058,P02329,S0043,2167.11,Regular,2023-09-06,E00363
PH0000059,P04265,S0146,8283.97,Sale,2023-10-21,E01410
PH0000060,P01424,S0073,9278.58,Regular,2022-06-28,E01480
PH0000061,P01203,S0011,1307.46,Clearance,2022-04-30,E01266
PH0000062,P03270,S0131,761.8,Regular,2022-12-01,E02199
PH0000063,P00275,S0012,432.64,Sale,2023-09-14,E01214
PH0000064,P04567,S0069,1392.65,Regular,2022-06-22,E01651
PH0000065,P01503,S0095,3751.42,Sale,2024-08-02,E02463
PH0000066,P02466,S0147,3008.21,Clearance,2024-11-15,E01657
PH0000067,P04746,S0107,11916.49,Regular,2023-12-20,E00665
PH0000068,P01427,S0135,1948.21,Clearance,2023-03-19,E01882
PH0000069,P00425,S0083,2106.44,Sale,2022-02-17,E01214
PH0000070,P02929,S0103,1678.5,Regular,2024-01-11,E00302
PH0000071,P00717,S0085,3972.51,Regular,2024-01-26,E01857
PH0000072,P03912,S0026,290.95,Regular,2022-03-04,E00846
PH0000073,P04941,S0065,4732.98,Regular,2023-12-28,E01842
PH0000074,P03210,S0010,5211.24,Regular,2022-05-18,E02387
PH0000075,P01856,S0140,2366.08,Sale,2024-04-18,E02328
PH0000076,P02524,S0109,458.05,Regular,2023-12-25,E00735
PH0000077,P01957,S0034,537.33,Regular,2024-09-21,E01510
PH0000078,P04137,S0045,1901.09,Sale,2022-02-08,E02134
PH0000079,P03981,S0068,7962.73,Regular,2022-07-23,E02378
PH0000080,P01429,S0101,4497.09,Promotional,2022-09-14,E00946
PH0000081,P00827,S0052,167.24,Regular,2022-07-22,E01303
PH0000082,P00346,S0038,3898.79,Regular,2024-06-19,E00668
PH0000083,P00243,S0028,654.7,Sale,2022-03-28,E01872
PH0000084,P01697,S0149,222.07,Promotional,2024-03-26,E01492
PH0000085,P03225,S0056,2383.95,Clearance,2022-06-27,E00601
PH0000086,P01901,S0104,438.47,Sale,2024-02-01,E02433
PH0000087,P01425,S0012,864.13,Regular,2024-01-21,E00352
PH0000088,P00459,S0067,432.88,Sale,2023-11-22,E02399
PH0000089,P04737,S0117,1911.83,Regular,2024-03-21,E02070
PH0000090,P00194,S0021,3034.98,Clearance,2022-04-28,E02005
PH0000091,P01487,S0074,608.09,Regular,2024-07-20,E01314
PH0000092,P02022,S0135,2125.57,Promotional,2023-07-06,E00497
PH0000093,P04822,S0126,13159.26,Regular,2024-03-03,E00942
PH0000094,P03573,S0141,4262.26,Regular,2023-04-24,E00055
PH0000095,P03397,S0049,619.16,Promotional,2022-08-30,E01953
PH0000096,P02746,S0083,841.07,Regular,2022-12-19,E01719
PH0000097,P03118,S0110,7078.44,Regular,2024-06-30,E00825
PH0000098,P03498,S0001,4166.36,Promotional,2023-05-19,E02116
PH0000099,P02084,S0080,139.89,Regular,2023-01-26,E00110
PH0000100,P00755,S0144,2984.17,Regular,2024-07-27,E02135
PH0000101,P02032,S0150,5616.31,Clearance,2022-05-18,E01226
PH0000102,P03245,S0069,10614.92,Regular,2023-01-05,E01705
PH0000103,P02925,S0048,1730.88,Sale,2022-07-21,E01370
PH0000104,P01155,S0068,6653.48,Regular,2024-10-09,E00088
PH0000105,P03080,S0121,210.33,Regular,2024-05-29,E00519
PH0000106,P01059,S0108,243.9,Regular,2024-01-31,E00211
PH0000107,P03998,S0037,1133.94,Sale,2024-10-18,E01760
PH0000108,P02798,S0141,3386.0,Sale,2024-12-22,E01561
PH0000109,P01941,S0127,1910.41,Regular,2023-04-15,E02098
PH0000110,P04066,S0094,2094.9,Regular,2022-09-17,E00312
PH0000111,P00348,S0102,2109.63,Clearance,2023-10-27,E01827
PH0000112,P01935,S0099,727.08,Regular,2023-07-16,E01775
PH0000113,P00644,S0088,4731.75,Regular,2022-05-25,E00754
PH0000114,P01844,S0068,328.6,Clearance,2024-01-27,E01019
PH0000115,P02036,S0088,6900.32,Regular,2023-05-19,E02425
PH0000116,P01002,S0128,221.66,Sale,2022-06-11,E01858
PH0000117,P00335,S0057,2016.9,Clearance,2022-12-10,E00962
PH0000118,P00450,S0104,5523.1,Regular,2024-10-03,E02301
PH0000119,P03139,S0116,235.77,Clearance,2024-12-06,E02240
PH0000120,P04476,S0115,1300.45,Regular,2023-06-06,E01571
PH0000121,P04207,S0107,13292.04,Regular,2024-04-17,E00935
PH0000122,P03648,S0079,4924.6,Regular,2024-02-26,E01177
PH0000123,P04432,S0129,1291.65,Sale,2022-11-03,E00856
PH0000124,P03415,S0065,1646.36,Regular,2023-01-07,E01177
PH0000125,P04480,S0104,6894.05,Regular,2024-04-22,E02430
PH0000126,P04962,S0147,2929.53,Flash Sale,2024-04-01,E01867
PH0000127,P01372,S0134,2530.21,Regular,2022-08-18,E00665
PH0000128,P03185,S0135,1496.47,Promotional,2024-05-17,E01783
PH0000129,P00197,S0129,2584.0,Sale,2024-04-06,E02088
PH0000130,P03239,S0052,10841.73,Sale,2023-02-05,E02012
PH0000131,P02152,S0057,3405.09,Sale,2024-11-27,E00231
PH0000132,P00860,S0090,595.93,Regular,2023-06-20,E00625
PH0000133,P02460,S0108,9084.54,Sale,2024-12-29,E01193
PH0000134,P02330,S0104,2549.57,Sale,2023-02-08,E01892
PH0000135,P00210,S0038,338.68,Sale,2022-02-14,E02018
PH0000136,P04661,S0004,3980.37,Regular,2023-07-02,E01822
PH0000137,P00517,S0005,3937.88,Sale,2024-04-23,E01989
PH0000138,P03869,S0058,5522.72,Sale,2022-04-24,E01840
PH0000139,P04555,S0018,1338.08,Promotional,2023-09-23,E02024
PH0000140,P03019,S0145,561.99,Regular,2022-02-21,E01978
PH0000141,P02932,S0088,5158.4,Sale,2024-12-03,E02459
PH0000142,P00815,S0110,5909.98,Regular,2022-10-22,E00514
PH0000143,P03227,S0024,769.61,Promotional,2024-10-16,E00607
PH0000144,P04400,S0100,1138.86,Regular,2023-01-11,E02097
PH0000145,P04472,S0061,2125.87,Clearance,2022-10-10,E01354
PH0000146,P03343,S0088,3577.6,Regular,2024-11-07,E01694
PH0000147,P00166,S0001,5488.22,Sale,2022-08-12,E01023
PH0000148,P00156,S0051,1257.61,Sale,2023-06-24,E00059
PH0000149,P02540,S0025,806.18,Regular,2022-02-07,E00458
PH0000150,P04622,S0054,3273.85,Sale,2023-01-26,E00067
PH0000151,P03377,S0056,413.77,Sale,2023-02-09,E02071
PH0000152,P01243,S0051,5983.99,Regular,2024-03-10,E01703
PH0000153,P02793,S0022,1195.77,Sale,2023-05-02,E00399
PH0000154,P00329,S0102,819.22,Regular,2024-02-25,E01341
PH0000155,P04233,S0028,5094.57,Sale,2022-10-03,E01162
PH0000156,P01467,S0145,721.48,Regular,2022-03-14,E00024
PH0000157,P04683,S0107,534.04,Flash Sale,2024-04-07,E01261
PH0000158,P00579,S0103,848.1,Regular,2023-05-19,E01695
PH0000159,P00326,S0098,2718.32,Clearance,2024-06-18,E02116
PH0000160,P03729,S0118,5463.04,Sale,2023-02-14,E01163
PH0000161,P03707,S0002,325.33,Sale,2022-05-15,E00702
PH0000162,P03579,S0136,6983.19,Regular,2023-10-18,E02057
PH0000163,P02708,S0070,2429.3,Regular,2023-03-15,E01658
PH0000164,P04405,S0117,7161.69,Regular,2024-05-10,E02079
PH0000165,P04171,S0109,1133.17,Sale,2022-06-09,E02297
PH0000166,P03219,S0138,265.64,Sale,2024-12-16,E01379
PH0000167,P00816,S0097,5806.45,Clearance,2024-03-04,E02476
PH0000168,P04062,S0027,2602.76,Promotional,2023-08-18,E02222
PH0000169,P04688,S0110,1405.74,Regular,2024-06-02,E01015
PH0000170,P02577,S0075,2952.11,Promotional,2023-05-18,E00484
PH0000171,P00686,S0080,2979.41,Flash Sale,2024-12-16,E00841
PH0000172,P04587,S0144,1678.81,Sale,2023-06-01,E02374
PH0000173,P03427,S0062,9390.75,Regular,2023-11-16,E00618
PH0000174,P04179,S0124,5979.33,Regular,2024-06-30,E00207
PH0000175,P02912,S0023,1356.69,Sale,2024-01-13,E01733
PH0000176,P01203,S0074,2036.54,Regular,2023-05-30,E01221
PH0000177,P04827,S0086,10014.42,Promotional,2024-03-26,E00141
PH0000178,P04835,S0144,2197.69,Flash Sale,2024-05-30,E01457
PH0000179,P02907,S0091,478.77,Regular,2022-09-26,E02189
PH0000180,P03414,S0147,1686.77,Regular,2022-06-12,E01922
PH0000181,P00495,S0099,832.14,Regular,2024-12-01,E01403
PH0000182,P04941,S0148,3531.46,Sale,2023-05-07,E01062
PH0000183,P00365,S0025,3869.8,Regular,2024-01-21,E01294
PH0000184,P02768,S0021,3364.89,Regular,2022-12-11,E00283
PH0000185,P03420,S0049,6367.1,Regular,2024-02-15,E00191
PH0000186,P01551,S0110,1736.81,Clearance,2023-06-16,E00857
PH0000187,P04993,S0013,2205.61,Sale,2024-09-18,E00955
PH0000188,P04178,S0063,3991.91,Regular,2023-10-25,E01793
PH0000189,P02061,S0007,2226.82,Regular,2024-09-07,E01925
PH0000190,P04933,S0134,3113.02,Sale,2024-01-27,E01823
PH0000191,P03816,S0010,244.54,Flash Sale,2023-04-06,E01035
PH0000192,P00036,S0013,474.51,Clearance,2024-08-29,E01198
PH0000193,P04773,S0117,3569.03,Regular,2023-04-26,E00349
PH0000194,P02939,S0103,4433.26,Clearance,2022-03-10,E00237
PH0000195,P04285,S0092,427.55,Sale,2023-06-02,E02048
PH0000196,P01459,S0131,1233.43,Clearance,2024-11-30,E01035
PH0000197,P01511,S0050,2561.06,Sale,2023-06-04,E02091
PH0000198,P00841,S0054,1517.32,Regular,2022-12-13,E02071
PH0000199,P00148,S0024,4149.99,Regular,2024-06-29,E00451
PH0000200,P00484,S0026,1280.63,Regular,2023-07-18,E01012
PH0000201,P04817,S0078,1750.99,Regular,2023-04-15,E01680
PH0000202,P03728,S0048,1986.77,Sale,2024-01-06,E01637
PH0000203,P03733,S0142,2408.54,Regular,2024-09-18,E02359
PH0000204,P04112,S0061,2287.19,Clearance,2023-02-27,E01040
PH0000205,P04204,S0083,1488.73,Regular,2024-02-07,E00137
PH0000206,P03164,S0101,5158.44,Regular,2024-12-19,E01866
PH0000207,P04290,S0142,1530.47,Sale,2022-11-18,E00407
PH0000208,P02417,S0023,178.66,Promotional,2024-07-06,E02152
PH0000209,P01336,S0032,1623.27,Regular,2024-12-04,E02062
PH0000210,P00108,S0089,2412.87,Clearance,2024-05-02,E02082
PH0000211,P04214,S0036,182.46,Regular,2022-02-20,E02406
PH0000212,P01906,S0028,5038.56,Regular,2023-12-22,E00298
PH0000213,P04753,S0040,750.54,Regular,2022-11-22,E01032
PH0000214,P01481,S0086,4173.51,Regular,2024-11-06,E00373
PH0000215,P03217,S0093,13395.56,Regular,2024-09-24,E00177
PH0000216,P02968,S0150,4787.79,Regular,2023-03-11,E01342
PH0000217,P00897,S0035,1715.69,Sale,2023-12-06,E01536
PH0000218,P03967,S0066,1470.95,Regular,2023-10-18,E01694
PH0000219,P03230,S0095,1754.92,Clearance,2023-01-01,E01117
PH0000220,P01085,S0098,389.28,Clearance,2024-01-21,E00138
PH0000221,P00128,S0137,5308.65,Regular,2023-11-25,E01129
PH0000222,P00114,S0036,3115.74,Regular,2024-09-06,E01359
PH0000223,P01041,S0106,1169.47,Regular,2022-04-09,E01180
PH0000224,P04062,S0085,2909.79,Regular,2024-08-10,E02440
PH0000225,P01197,S0078,2574.3,Regular,2023-05-07,E02222
PH0000226,P04935,S0051,4211.27,Clearance,2023-05-30,E00728
PH0000227,P02336,S0118,1161.23,Regular,2024-10-28,E01823
PH0000228,P03296,S0083,10107.44,Promotional,2023-01-24,E00553
PH0000229,P01780,S0129,119.4,Sale,2022-04-25,E02462
PH0000230,P02644,S0136,1436.35,Regular,2024-10-23,E01440
PH0000231,P00257,S0128,1320.27,Regular,2024-12-21,E01425
PH0000232,P03037,S0123,3019.98,Regular,2024-09-08,E02060
PH0000233,P02833,S0088,261.56,Sale,2022-10-03,E00351
PH0000234,P01019,S0022,3396.09,Flash Sale,2022-01-16,E00973
PH0000235,P00817,S0068,8028.28,Regular,2022-02-07,E00339
PH0000236,P02134,S0027,1025.56,Regular,2023-12-01,E00671
PH0000237,P01101,S0075,866.64,Regular,2024-10-30,E01444
PH0000238,P03044,S0071,2842.72,Clearance,2024-02-19,E01526
PH0000239,P02069,S0075,1928.58,Promotional,2023-05-08,E00433
PH0000240,P02054,S0012,3514.55,Promotional,2023-11-06,E00024
PH0000241,P01847,S0115,1645.79,Sale,2024-04-02,E02402
PH0000242,P04699,S0078,6955.3,Clearance,2023-07-18,E01109
PH0000243,P00514,S0052,5791.19,Promotional,2024-03-16,E00309
PH0000244,P03045,S0087,4764.44,Promotional,2024-11-21,E01878
PH0000245,P01934,S0147,2106.16,Regular,2022-06-08,E01685
PH0000246,P04139,S0003,1401.15,Sale,2024-08-10,E00756
PH0000247,P03117,S0084,3655.26,Sale,2024-05-26,E00927
PH0000248,P01024,S0014,2059.64,Promotional,2024-05-01,E00300
PH0000249,P01304,S0044,1486.78,Regular,2023-01-02,E02248
PH0000250,P03833,S0144,4192.6,Regular,2024-08-05,E01910
PH0000251,P01279,S0064,5740.05,Regular,2022-03-15,E00232
PH0000252,P03288,S0121,1948.26,Flash Sale,2022-06-22,E01490
