return_id,order_id,customer_id,product_id,reason,return_date,refund_amount,status
RET000001,ORD0025823,C09751,P01933,Wrong Item Delivered,2024-07-12,3719.75,Refunded
RET000002,ORD0128318,C02471,P04517,Changed Mind,2022-08-18,7432.4,Picked Up
RET000003,ORD0057882,C08033,P02816,Duplicate Order,2024-11-27,8500.1,Requested
RET000004,ORD0168273,C07069,P01377,Better Price Found,2024-12-06,4710.36,Refunded
RET000005,ORD0173653,C03225,P01051,Wrong Size,2024-02-14,1968.8,Approved
RET000006,ORD0088408,C00785,P00895,Wrong Item Delivered,2024-05-09,1149.62,Picked Up
RET000007,ORD0128493,C05748,P03964,Duplicate Order,2022-01-23,17907.09,Approved
RET000008,ORD0054939,C09473,P04443,Wrong Item Delivered,2022-01-29,8539.8,Requested
RET000009,ORD0082564,C00347,P01719,Defective Product,2022-04-17,3726.09,Requested
RET000010,ORD0189813,C03102,P01009,Not as Described,2022-07-19,14979.67,Approved
RET000011,ORD0164510,C01305,P03863,Changed Mind,2024-09-14,5440.15,Approved
RET000012,ORD0176886,C04170,P02478,Not as Described,2023-11-12,11069.51,Refunded
RET000013,ORD0085804,C05104,P02243,Duplicate Order,2023-01-15,2099.85,Refunded
RET000014,ORD0141628,C09868,P02940,Defective Product,2022-12-19,1964.16,Refunded
RET000015,ORD0090881,C01967,P03651,Duplicate Order,2022-08-29,19227.67,Picked Up
RET000016,ORD0051526,C04889,P04474,Wrong Size,2022-01-13,5868.38,Refunded
RET000017,ORD0097615,C00907,P01547,Better Price Found,2022-05-10,26207.28,Approved
RET000018,ORD0120240,C03312,P01104,Not as Described,2023-10-03,5407.28,Refunded
RET000019,ORD0103599,C03170,P02426,Wrong Size,2023-10-17,694.5,Requested
RET000020,ORD0183009,C05931,P01028,Duplicate Order,2022-05-13,3811.38,Refunded
RET000021,ORD0100044,C03924,P03988,Not as Described,2024-02-16,1390.12,Picked Up
RET000022,ORD0108492,C09461,P03906,Quality Issue,2022-04-23,4792.16,Refunded
RET000023,ORD0023863,C00180,P02426,Defective Product,2022-09-06,1055.72,Picked Up
RET000024,ORD0172671,C05857,P03813,Changed Mind,2023-11-07,4672.43,Refunded
RET000025,ORD0119897,C05444,P01186,Wrong Size,2022-02-19,2305.18,Refunded
RET000026,ORD0154704,C07569,P03606,Wrong Item Delivered,2024-04-17,2477.05,Approved
RET000027,ORD0148269,C07846,P01783,Quality Issue,2022-01-19,11640.58,Approved
RET000028,ORD0051234,C04285,P03268,Defective Product,2022-08-16,990.81,Picked Up
RET000029,ORD0115469,C02428,P04048,Better Price Found,2024-09-27,1680.53,Refunded
RET000030,ORD0073651,C08410,P02623,Wrong Size,2023-03-31,5009.55,Requested
RET000031,ORD0106495,C00110,P03029,Defective Product,2023-09-19,6410.17,Approved
RET000032,ORD0021853,C02044,P03954,Defective Product,2024-01-06,7556.57,Refunded
RET000033,ORD0093382,C06738,P03020,Wrong Size,2023-06-08,3601.19,Picked Up
RET000034,ORD0107172,C01495,P04959,Not as Described,2024-07-22,808.54,Approved
RET000035,ORD0021548,C09949,P00198,Wrong Size,2023-08-20,16343.67,Picked Up
RET000036,ORD0140672,C06821,P03542,Better Price Found,2022-02-09,954.9,Picked Up
RET000037,ORD0150269,C02034,P03835,Changed Mind,2023-05-11,17825.16,Approved
RET000038,ORD0128810,C09278,P03567,Not as Described,2024-03-13,1407.19,Picked Up
RET000039,ORD0154948,C05201,P01917,Quality Issue,2023-11-11,6745.16,Requested
RET000040,ORD0108174,C08737,P02236,Duplicate Order,2023-07-08,2809.57,Approved
RET000041,ORD0018421,C01482,P00044,Changed Mind,2024-11-15,1075.58,Requested
RET000042,ORD0088846,C00855,P02337,Wrong Item Delivered,2024-08-13,26411.87,Refunded
RET000043,ORD0078029,C06694,P00848,Better Price Found,2022-07-21,8861.56,Approved
RET000044,ORD0191113,C02966,P02279,Quality Issue,2023-08-10,7704.57,Refunded
RET000045,ORD0029890,C08260,P00682,Wrong Item Delivered,2023-06-21,18410.96,Approved
RET000046,ORD0108076,C03773,P00232,Better Price Found,2023-11-29,435.67,Approved
RET000047,ORD0043410,C08029,P00870,Duplicate Order,2022-08-10,6868.68,Refunded
RET000048,ORD0038208,C01826,P04168,Changed Mind,2023-08-17,3305.72,Rejected
RET000049,ORD0006712,C03009,P02897,Quality Issue,2022-02-27,154.05,Approved
RET000050,ORD0172692,C08153,P03119,Quality Issue,2024-05-13,488.22,Refunded
RET000051,ORD0090172,C08449,P03379,Defective Product,2023-08-25,7371.06,Refunded
RET000052,ORD0040160,C08011,P02392,Quality Issue,2023-04-22,1640.58,Refunded
RET000053,ORD0108190,C02425,P04129,Wrong Size,2023-06-17,10750.4,Refunded
RET000054,ORD0005946,C01978,P00477,Defective Product,2022-11-03,6788.9,Refunded
RET000055,ORD0139413,C04333,P04863,Defective Product,2022-06-14,16421.42,Refunded
RET000056,ORD0032498,C07341,P03486,Duplicate Order,2023-09-06,11944.88,Refunded
RET000057,ORD0096868,C09858,P01184,Wrong Size,2023-10-03,14654.57,Approved
RET000058,ORD0091141,C06284,P03006,Wrong Item Delivered,2024-10-22,2961.56,Requested
RET000059,ORD0188019,C02074,P02319,Wrong Size,2024-04-12,3269.2,Refunded
RET000060,ORD0065544,C00138,P04820,Changed Mind,2024-02-16,4782.91,Refunded
RET000061,ORD0152263,C03187,P01375,Defective Product,2024-10-25,2187.29,Refunded
RET000062,ORD0056152,C09323,P00137,Quality Issue,2022-10-09,9689.42,Refunded
RET000063,ORD0063025,C05961,P03807,Defective Product,2024-05-18,8455.51,Refunded
RET000064,ORD0061431,C06062,P03761,Not as Described,2024-09-21,5114.71,Approved
RET000065,ORD0130028,C04993,P02811,Changed Mind,2023-03-29,11334.61,Requested
RET000066,ORD0198088,C06156,P03980,Defective Product,2022-10-18,2604.37,Refunded
RET000067,ORD0051243,C00456,P03389,Wrong Item Delivered,2023-03-07,3824.97,Refunded
RET000068,ORD0130960,C00127,P01852,Quality Issue,2024-01-04,6853.63,Picked Up
RET000069,ORD0167451,C01157,P00505,Wrong Size,2024-08-17,5622.06,Refunded
RET000070,ORD0138265,C05103,P00784,Wrong Item Delivered,2023-07-03,11262.54,Refunded
RET000071,ORD0139192,C02631,P04685,Wrong Item Delivered,2024-02-26,5871.92,Approved
RET000072,ORD0017096,C04755,P04055,Wrong Item Delivered,2024-03-21,1113.06,Refunded
RET000073,ORD0149167,C03818,P00919,Changed Mind,2024-11-10,4280.93,Approved
RET000074,ORD0181191,C07242,P03355,Duplicate Order,2024-09-30,6039.21,Requested
RET000075,ORD0136345,C01512,P03189,Better Price Found,2023-09-19,3120.23,Refunded
RET000076,ORD0112204,C04877,P01746,Changed Mind,2023-05-02,2452.92,Requested
RET000077,ORD0106120,C04240,P04339,Changed Mind,2022-01-09,12413.16,Refunded
RET000078,ORD0091246,C08208,P02629,Wrong Item Delivered,2024-09-21,3479.7,Approved
RET000079,ORD0101201,C06284,P04780,Better Price Found,2024-04-13,4823.73,Picked Up
RET000080,ORD0177526,C03514,P02603,Better Price Found,2022-09-15,6972.53,Refunded
