search_id,customer_id,query_text,timestamp,results_count,clicked_product_id,converted
SR0000001,C07512,joggers mens,2024-10-19 15:09:00,287,P04011,True
SR0000002,C06695,maxi dress,2022-09-04 02:00:00,410,P03662,False
SR0000003,C02200,running shoes,2022-11-05 05:59:00,266,P04404,False
SR0000004,C04224,sneakers white,2023-03-19 11:00:00,447,P02133,False
SR0000005,C00468,palazzo pants,2023-12-16 16:41:00,489,,False
SR0000006,C05327,black dress,2023-04-26 20:27:00,146,P04499,True
SR0000007,C08686,printed kurti,2022-06-03 03:19:00,190,,False
SR0000008,C00315,silk saree,2024-07-22 18:53:00,280,,False
SR0000009,C01608,black dress,2022-12-07 00:41:00,49,,False
SR0000010,C05971,printed kurti,2024-02-02 04:21:00,10,P01363,False
SR0000011,C00866,sneakers white,2022-09-01 09:46:00,34,,False
SR0000012,C00266,summer kurta,2023-06-13 10:15:00,128,,False
SR0000013,C07822,formal shirt men,2022-02-25 16:14:00,277,,False
SR0000014,C03735,denim jacket,2024-09-07 07:12:00,452,P04864,False
SR0000015,C03831,running shoes,2022-03-15 18:30:00,284,P02548,False
SR0000016,C06150,running shoes,2022-08-27 04:22:00,409,,False
SR0000017,C01656,denim jacket,2023-01-15 05:05:00,304,P00612,False
SR0000018,C04555,party wear dress,2022-09-27 06:57:00,374,P00663,True
SR0000019,C01446,maxi dress,2022-01-08 10:16:00,264,P04906,False
SR0000020,C06563,ethnic wear women,2022-01-12 02:11:00,163,,True
SR0000021,C03328,anarkali suit,2023-07-31 20:31:00,426,P04383,False
SR0000022,C05031,sneakers white,2024-06-06 21:13:00,1,P00687,False
SR0000023,C04656,formal shirt men,2022-06-07 06:15:00,471,,False
SR0000024,C01845,palazzo pants,2024-07-24 06:11:00,3,P02116,False
SR0000025,C01528,joggers mens,2022-12-05 05:22:00,391,P00444,False
SR0000026,C09096,crop top,2022-10-28 03:47:00,78,P02436,False
SR0000027,C06884,black dress,2022-10-30 21:22:00,152,P02900,False
SR0000028,C00149,crop top,2023-01-06 23:38:00,335,,False
SR0000029,C03921,denim jacket,2022-01-27 08:22:00,416,,True
SR0000030,C05624,ethnic wear women,2022-02-11 21:06:00,270,P01018,False
SR0000031,C06572,anarkali suit,2024-03-18 01:40:00,106,,False
SR0000032,C00666,sneakers white,2022-07-31 11:27:00,490,,False
SR0000033,C07319,handbag red,2023-11-17 13:06:00,58,,False
SR0000034,C00478,joggers mens,2022-05-23 06:22:00,166,,False
SR0000035,C01246,casual jeans,2022-03-09 16:03:00,42,P02586,False
SR0000036,C06694,winter jacket,2023-03-25 05:51:00,341,P02645,True
SR0000037,C05280,sneakers white,2023-12-25 00:46:00,248,P02153,True
SR0000038,C03046,black dress,2024-02-19 20:57:00,136,P02532,True
SR0000039,C06408,anarkali suit,2023-10-20 11:05:00,30,,False
SR0000040,C02707,anarkali suit,2023-07-13 05:49:00,44,P01426,True
SR0000041,C03207,handbag red,2022-10-25 12:08:00,51,,False
SR0000042,C03412,anarkali suit,2023-05-06 16:09:00,115,,False
SR0000043,C06718,handbag red,2023-10-31 18:59:00,415,P02060,True
SR0000044,C05432,anarkali suit,2022-10-08 06:15:00,71,P00151,True
SR0000045,C06902,party wear dress,2023-07-13 08:15:00,490,P01668,False
SR0000046,C02749,casual jeans,2022-08-21 11:53:00,297,P02599,False
SR0000047,C09795,joggers mens,2023-12-18 16:11:00,67,P01559,False
SR0000048,C05402,crop top,2022-02-04 20:58:00,224,P04478,False
SR0000049,C04545,printed kurti,2024-04-27 19:33:00,74,,True
SR0000050,C05055,summer kurta,2024-01-25 14:11:00,234,P01943,False
SR0000051,C00761,office wear,2022-05-25 11:51:00,50,,False
SR0000052,C07126,casual jeans,2024-11-13 20:28:00,399,,False
SR0000053,C03728,joggers mens,2023-06-04 12:17:00,310,,False
SR0000054,C01223,gym wear,2023-11-03 20:49:00,65,P04430,True
SR0000055,C00938,party wear dress,2024-05-22 07:52:00,423,,False
SR0000056,C01203,summer kurta,2024-10-16 04:49:00,488,P04596,False
SR0000057,C09543,anarkali suit,2022-12-16 07:49:00,350,,False
SR0000058,C07660,formal shirt men,2024-01-03 18:43:00,135,,False
SR0000059,C05141,ethnic wear women,2022-02-07 15:54:00,100,,False
SR0000060,C06225,denim jacket,2024-03-17 01:58:00,147,,False
SR0000061,C06327,black dress,2024-04-02 16:22:00,35,P04081,True
SR0000062,C07128,running shoes,2024-02-18 19:58:00,155,P00474,False
SR0000063,C05065,palazzo pants,2022-08-02 16:26:00,192,P01223,False
SR0000064,C08062,winter jacket,2024-12-29 04:16:00,17,,True
SR0000065,C09925,palazzo pants,2024-11-19 00:55:00,62,P04509,False
SR0000066,C08501,gym wear,2022-02-08 13:17:00,331,,True
SR0000067,C02681,anarkali suit,2022-05-20 12:19:00,269,P00912,False
SR0000068,C08091,formal shirt men,2024-07-26 14:17:00,277,P04864,True
SR0000069,C02171,formal shirt men,2022-10-10 14:43:00,294,P00874,False
SR0000070,C04011,joggers mens,2022-02-02 06:00:00,157,,False
SR0000071,C06827,running shoes,2023-09-24 01:05:00,367,P04357,False
SR0000072,C03413,casual jeans,2023-05-26 17:40:00,381,P03594,False
SR0000073,C01865,summer kurta,2023-11-10 21:50:00,69,P04748,False
SR0000074,C05998,ethnic wear women,2023-12-26 18:34:00,161,P01346,False
SR0000075,C01977,denim jacket,2024-08-06 03:11:00,18,,True
SR0000076,C09362,winter jacket,2024-08-08 23:23:00,492,P02794,False
SR0000077,C04802,running shoes,2023-03-18 14:48:00,325,P01141,True
SR0000078,C06092,ethnic wear women,2022-05-11 00:32:00,478,,False
SR0000079,C07737,summer kurta,2024-12-13 14:49:00,19,,True
SR0000080,C03070,black dress,2022-12-11 05:28:00,414,P02922,False
SR0000081,C03110,printed kurti,2024-10-17 14:44:00,57,P04785,False
SR0000082,C00167,casual jeans,2022-12-05 10:44:00,479,P01508,True
SR0000083,C04289,palazzo pants,2022-05-16 09:33:00,261,,False
SR0000084,C07551,joggers mens,2024-07-27 08:03:00,473,,False
SR0000085,C02963,palazzo pants,2024-02-11 20:47:00,187,P03858,False
SR0000086,C04652,anarkali suit,2024-10-12 11:59:00,136,P00332,False
SR0000087,C05672,joggers mens,2022-09-20 05:06:00,48,P02219,False
SR0000088,C04665,silk saree,2024-07-21 12:05:00,476,P02807,False
SR0000089,C02633,formal shirt men,2023-01-29 03:09:00,213,,False
SR0000090,C02642,palazzo pants,2022-02-14 12:56:00,410,,False
SR0000091,C00716,ethnic wear women,2022-04-16 22:07:00,273,P00022,False
SR0000092,C06560,casual jeans,2022-03-13 19:12:00,17,,True
SR0000093,C03202,formal shirt men,2023-02-24 12:29:00,10,P00159,True
SR0000094,C04440,maxi dress,2022-12-21 01:38:00,428,,True
SR0000095,C06990,sneakers white,2023-06-23 19:13:00,309,P01490,False
SR0000096,C09369,winter jacket,2023-05-30 11:25:00,315,P01604,False
SR0000097,C03016,party wear dress,2022-02-14 21:45:00,44,P01244,False
SR0000098,C06122,denim jacket,2022-11-13 22:46:00,198,P01204,True
SR0000099,C05959,joggers mens,2024-08-22 16:03:00,357,,False
SR0000100,C04627,running shoes,2022-03-22 23:55:00,155,P00658,False
SR0000101,C00573,crop top,2024-03-23 22:41:00,37,P01862,False
SR0000102,C01338,black dress,2024-05-20 11:09:00,113,,True
SR0000103,C02758,maxi dress,2024-01-29 02:04:00,411,,False
SR0000104,C07863,black dress,2022-12-12 09:56:00,202,P03845,False
SR0000105,C06475,running shoes,2022-12-17 03:37:00,234,P03787,False
SR0000106,C07556,summer kurta,2024-07-17 22:26:00,144,,False
SR0000107,C02593,formal shirt men,2023-05-03 18:38:00,235,P00371,False
SR0000108,C04851,formal shirt men,2023-05-18 01:16:00,421,P01027,False
SR0000109,C09044,maxi dress,2024-10-03 16:26:00,89,P03166,False
SR0000110,C04437,joggers mens,2023-09-22 06:09:00,88,P00333,False
SR0000111,C02789,handbag red,2024-08-15 07:02:00,130,,False
SR0000112,C06720,black dress,2022-09-26 23:07:00,477,P00410,False
SR0000113,C09333,office wear,2022-07-26 10:44:00,449,,False
SR0000114,C08520,casual jeans,2022-01-08 08:41:00,154,P00383,False
SR0000115,C09542,casual jeans,2023-03-14 05:25:00,48,P01098,False
SR0000116,C01085,formal shirt men,2024-07-30 18:39:00,106,,False
SR0000117,C07948,winter jacket,2022-12-04 05:07:00,466,,False
SR0000118,C09485,casual jeans,2023-06-09 23:22:00,467,P01841,False
SR0000119,C09309,crop top,2024-05-25 19:03:00,160,,True
SR0000120,C05416,office wear,2023-06-21 06:51:00,26,P00632,False
SR0000121,C05036,ethnic wear women,2022-05-19 18:45:00,272,P02159,False
SR0000122,C05429,palazzo pants,2023-08-11 09:36:00,453,P04101,False
SR0000123,C00675,silk saree,2023-11-14 21:52:00,52,P01264,False
SR0000124,C08824,summer kurta,2022-10-04 20:28:00,477,,False
SR0000125,C07568,printed kurti,2023-05-23 18:09:00,431,P03335,False
SR0000126,C06368,gym wear,2022-06-11 10:53:00,348,P00041,False
SR0000127,C05553,anarkali suit,2024-12-23 09:31:00,344,P04511,True
SR0000128,C09774,crop top,2023-08-11 15:39:00,485,,False
SR0000129,C00952,winter jacket,2024-06-30 13:08:00,138,P04616,False
SR0000130,C04738,black dress,2022-08-25 15:03:00,115,,False
SR0000131,C03827,party wear dress,2022-11-28 20:02:00,257,P00441,False
SR0000132,C05398,crop top,2023-12-24 15:58:00,36,,False
SR0000133,C01202,party wear dress,2024-09-07 20:22:00,228,,True
SR0000134,C06123,gym wear,2022-10-12 16:33:00,182,P04028,False
SR0000135,C01100,casual jeans,2024-09-30 17:48:00,494,P04225,True
SR0000136,C01065,summer kurta,2024-08-31 15:15:00,135,P03851,False
SR0000137,C01618,casual jeans,2022-09-04 19:20:00,412,,True
SR0000138,C01620,winter jacket,2022-05-15 12:32:00,198,P00921,True
SR0000139,C06459,running shoes,2023-06-01 04:42:00,335,P00312,True
SR0000140,C01193,handbag red,2022-07-25 03:51:00,7,,False
SR0000141,C03790,crop top,2024-06-04 17:52:00,375,,False
SR0000142,C05368,maxi dress,2023-07-20 17:07:00,346,,False
SR0000143,C01435,office wear,2022-01-24 18:50:00,267,P01097,False
SR0000144,C06341,sneakers white,2024-10-27 15:23:00,154,,False
SR0000145,C00837,anarkali suit,2024-01-06 08:52:00,122,,False
SR0000146,C01312,palazzo pants,2024-07-24 15:51:00,480,P04545,False
