supplier_id,name,category,country,city,lead_time_days,reliability_score,min_order_qty,payment_terms,is_active
SUP0001,"Choudhury, Bakshi and Maharaj",Activewear,Bangladesh,Patna,20,0.91,194,Advance,True
SUP0002,Kapoor and Sons,Innerwear,China,Indore,37,0.76,220,COD,True
SUP0003,"Chaudry, Chahal and Sami",Accessories,China,Ahmedabad,39,0.72,488,COD,True
SUP0004,Balan Inc,Innerwear,Vietnam,Chandigarh,45,0.9,383,Net60,True
SUP0005,Kaul PLC,Tops,China,Patna,40,0.7,101,COD,True
SUP0006,"Bala, Issac and Saini",Innerwear,India,Chennai,29,0.93,129,Net30,True
SUP0007,Sen PLC,Footwear,Bangladesh,Agra,28,0.84,486,Advance,True
SUP0008,Ahuja-Dutta,Ethnic Wear,Vietnam,Surat,43,0.87,438,COD,True
SUP0009,"Sami, Oak and Mall",Tops,Turkey,Bengaluru,18,0.83,197,Net60,True
SUP0010,Kale LLC,Activewear,India,Hyderabad,31,0.62,203,Net30,True
SUP0011,Chanda Group,Tops,Bangladesh,Kochi,26,0.74,175,COD,True
SUP0012,Parmer LLC,Dresses,China,Kolkata,8,0.82,245,Net60,True
SUP0013,"Lalla, Bassi and Sharaf",Dresses,China,Indore,43,0.66,180,Net30,False
SUP0014,"Dash, Radhakrishnan and Brar",Innerwear,Bangladesh,Vadodara,13,0.58,226,Advance,True
SUP0015,"Memon, Pathak and Handa",Activewear,Bangladesh,Indore,22,0.64,246,COD,True
SUP0016,"Boase, Bath and Kari",Activewear,Turkey,Kochi,39,0.68,408,Advance,True
SUP0017,Buch-Kaul,Activewear,Bangladesh,Mumbai,39,0.93,448,Net30,False
SUP0018,Rai LLC,Innerwear,Bangladesh,Ahmedabad,41,0.9,162,Net60,True
SUP0019,Patla-Gaba,Dresses,India,Delhi,22,0.9,67,Advance,True
SUP0020,Pant-Kadakia,Bottoms,Bangladesh,Surat,29,0.63,117,Advance,True
SUP0021,"Loke, Bora and Garg",Footwear,China,Jaipur,33,0.98,201,Advance,True
SUP0022,"Konda, Gade and Shere",Innerwear,India,Chennai,17,0.93,420,COD,False
SUP0023,Madan-Kanda,Ethnic Wear,Bangladesh,Bengaluru,28,0.56,324,Net30,True
SUP0024,"Nair, Bhalla and Karnik",Footwear,Turkey,Chandigarh,43,0.96,105,Net60,True
SUP0025,Mutti Group,Ethnic Wear,Bangladesh,Agra,17,0.83,375,COD,False
SUP0026,Bhatti-Kakar,Footwear,Vietnam,Hyderabad,11,0.57,69,Advance,False
SUP0027,"Murty, Kala and Tata",Bottoms,India,Ahmedabad,37,0.61,282,Advance,True
SUP0028,Shanker-Dhar,Ethnic Wear,Vietnam,Ludhiana,12,0.94,385,Net30,True
SUP0029,Dewan-Koshy,Activewear,Bangladesh,Delhi,26,0.65,277,Net60,True
SUP0030,"Yohannan, Lall and Sangha",Bottoms,Bangladesh,Vadodara,44,0.71,253,Advance,True
SUP0031,"Rastogi, Pathak and Kanda",Bottoms,Vietnam,Bengaluru,45,0.64,377,Net30,True
SUP0032,Upadhyay Group,Accessories,China,Chennai,39,0.64,474,Net60,True
SUP0033,Batta Inc,Outerwear,Bangladesh,Chennai,41,0.55,489,Net60,False
SUP0034,Dutta Ltd,Ethnic Wear,Bangladesh,Kolkata,10,0.84,63,Net60,True
SUP0035,Bhatt-Rajan,Outerwear,Turkey,Surat,4,0.63,76,Net60,True
