ticket_id,customer_id,order_id,category,priority,description,status,channel,created_at,resolved_at,agent_id,csat_score
TKT000001,C02227,ORD0008003,Delivery Delay,Low,My order has not arrived yet.,Resolved,Email,2022-05-12 23:00:00,2022-05-14 17:00:00,E00998,4.0
TKT000002,C02886,ORD0142161,Size Exchange,Low,I received the wrong product.,Resolved,Phone,2024-08-12 18:00:00,2024-08-16 07:00:00,E00166,
TKT000003,C03715,ORD0109471,Wrong Item,High,I want to return the item.,Resolved,WhatsApp,2023-12-21 08:00:00,2023-12-23 12:00:00,E00155,4.0
TKT000004,C09506,ORD0099489,Wrong Item,Low,The size I received is different from what I ordered.,In Progress,Phone,2024-12-15 23:00:00,2024-12-16 13:00:00,E02180,5.0
TKT000005,C07355,ORD0161176,Size Exchange,Critical,My payment was deducted but order not confirmed.,Resolved,Phone,2023-05-30 10:00:00,2023-06-02 04:00:00,E01244,2.0
TKT000006,C02345,ORD0041494,Size Exchange,High,The product quality is very poor.,Resolved,WhatsApp,2023-01-19 15:00:00,2023-01-22 03:00:00,E01615,
TKT000007,C08642,ORD0108563,Delivery Delay,Medium,My payment was deducted but order not confirmed.,Escalated,WhatsApp,2024-09-27 18:00:00,2024-10-01 20:00:00,E01738,3.0
TKT000008,C00189,ORD0088240,Return & Refund,Low,The product quality is very poor.,Open,Phone,2023-11-26 19:00:00,2023-11-30 01:00:00,E02092,3.0
TKT000009,C07832,ORD0015644,Product Quality,Low,I received the wrong product.,Resolved,WhatsApp,2022-02-17 21:00:00,2022-02-20 02:00:00,E01576,4.0
TKT000010,C02366,ORD0043736,Payment Problem,High,I received the wrong product.,Open,Chat,2024-09-08 19:00:00,2024-09-09 17:00:00,E00929,3.0
TKT000011,C03478,ORD0004504,Payment Problem,Medium,The size I received is different from what I ordered.,Resolved,Phone,2023-04-22 08:00:00,2023-04-24 05:00:00,E01230,
TKT000012,C02829,ORD0144920,Delivery Delay,Medium,I want to return the item.,Resolved,Phone,2023-09-23 08:00:00,2023-09-25 12:00:00,E00999,4.0
TKT000013,C04568,ORD0075306,Account Issue,Medium,The product quality is very poor.,In Progress,WhatsApp,2024-07-01 14:00:00,2024-07-02 20:00:00,E00818,4.0
TKT000014,C03398,ORD0152079,Payment Problem,Critical,My payment was deducted but order not confirmed.,Closed,Phone,2023-04-05 05:00:00,2023-04-09 02:00:00,E02432,2.0
TKT000015,C00013,ORD0040799,Size Exchange,Critical,My payment was deducted but order not confirmed.,In Progress,Phone,2024-05-10 00:00:00,2024-05-14 11:00:00,E01527,4.0
TKT000016,C07270,ORD0196292,Product Quality,High,My payment was deducted but order not confirmed.,Resolved,Chat,2023-09-19 12:00:00,2023-09-20 02:00:00,E01334,3.0
TKT000017,C06879,ORD0107474,Product Quality,Low,My order has not arrived yet.,Resolved,Email,2022-02-01 09:00:00,2022-02-05 23:00:00,E01274,
TKT000018,C09312,ORD0117424,Return & Refund,High,Discount coupon not applied.,Closed,Chat,2024-02-24 22:00:00,2024-02-28 00:00:00,E00156,
TKT000019,C02364,ORD0061162,Account Issue,Low,I need help with my account login.,Resolved,Email,2022-06-28 05:00:00,2022-07-03 05:00:00,E01939,4.0
TKT000020,C08925,ORD0116316,Size Exchange,High,Delivery is delayed.,In Progress,Phone,2024-12-05 10:00:00,2024-12-08 01:00:00,E02270,
TKT000021,C04334,ORD0167842,Delivery Delay,Critical,My payment was deducted but order not confirmed.,Escalated,WhatsApp,2022-12-23 21:00:00,2022-12-26 05:00:00,E00296,1.0
TKT000022,C04097,ORD0018399,Delivery Delay,Medium,The size I received is different from what I ordered.,Resolved,WhatsApp,2024-05-20 16:00:00,2024-05-24 14:00:00,E01955,3.0
TKT000023,C05046,ORD0038351,Product Quality,Low,My payment was deducted but order not confirmed.,Escalated,Chat,2024-04-21 16:00:00,2024-04-22 11:00:00,E01826,
TKT000024,C07312,ORD0101827,Return & Refund,Low,I need help with my account login.,Resolved,Chat,2023-08-21 00:00:00,2023-08-23 14:00:00,E01579,4.0
TKT000025,C02078,ORD0100018,Product Quality,Critical,The product quality is very poor.,Resolved,Chat,2023-07-10 23:00:00,2023-07-11 15:00:00,E00182,2.0
TKT000026,C07064,ORD0089946,Return & Refund,High,My order has not arrived yet.,Resolved,Phone,2022-07-02 02:00:00,2022-07-04 13:00:00,E00750,
TKT000027,C01523,ORD0035620,Delivery Delay,Medium,Delivery is delayed.,Escalated,WhatsApp,2023-09-29 22:00:00,2023-09-30 22:00:00,E01053,5.0
TKT000028,C04749,ORD0084598,Size Exchange,Low,My payment was deducted but order not confirmed.,Resolved,Phone,2024-07-13 21:00:00,2024-07-16 06:00:00,E01468,
TKT000029,C02322,ORD0057520,Wrong Item,High,I received the wrong product.,Resolved,Email,2024-01-14 21:00:00,2024-01-15 01:00:00,E01046,5.0
TKT000030,C08558,ORD0182297,Size Exchange,High,I need help with my account login.,Resolved,WhatsApp,2024-06-22 21:00:00,2024-06-25 07:00:00,E02357,
TKT000031,C06288,ORD0109745,Return & Refund,High,Delivery is delayed.,Resolved,Phone,2022-04-17 22:00:00,2022-04-21 08:00:00,E00445,
TKT000032,C06509,ORD0122067,Product Quality,Medium,Product is damaged.,Resolved,WhatsApp,2023-07-23 22:00:00,2023-07-24 08:00:00,E01894,3.0
TKT000033,C05296,ORD0150281,Size Exchange,Medium,My payment was deducted but order not confirmed.,Resolved,Email,2023-01-20 12:00:00,2023-01-24 21:00:00,E00726,
TKT000034,C02813,ORD0080030,Return & Refund,Medium,Delivery is delayed.,Resolved,Email,2022-07-13 08:00:00,2022-07-16 03:00:00,E00283,2.0
TKT000035,C05303,ORD0107153,Delivery Delay,Low,Delivery is delayed.,Resolved,Email,2022-03-29 03:00:00,2022-04-01 11:00:00,E01682,5.0
TKT000036,C08250,ORD0142664,Order Issue,Low,I want to return the item.,In Progress,Phone,2022-09-19 11:00:00,2022-09-21 07:00:00,E01678,
TKT000037,C00709,ORD0175361,Product Quality,Medium,Discount coupon not applied.,Resolved,Email,2024-05-21 19:00:00,2024-05-25 19:00:00,E02211,4.0
TKT000038,C01846,ORD0065653,Payment Problem,High,I want to return the item.,Resolved,Chat,2022-04-21 00:00:00,2022-04-22 04:00:00,E02141,
TKT000039,C01451,ORD0196843,Account Issue,Low,I received the wrong product.,Resolved,Email,2024-02-28 13:00:00,2024-03-03 21:00:00,E00821,5.0
TKT000040,C05330,ORD0165974,Order Issue,High,Discount coupon not applied.,Resolved,Chat,2022-04-30 00:00:00,2022-05-04 21:00:00,E01615,
TKT000041,C06869,ORD0128563,Order Issue,Medium,My order has not arrived yet.,Resolved,Email,2022-02-01 00:00:00,2022-02-04 19:00:00,E01398,4.0
TKT000042,C06026,ORD0075566,Size Exchange,Low,I want to return the item.,Resolved,Phone,2023-12-17 12:00:00,2023-12-19 15:00:00,E02197,
TKT000043,C00194,ORD0128823,Return & Refund,Low,The product quality is very poor.,Closed,Chat,2023-12-15 21:00:00,2023-12-17 00:00:00,E02186,
TKT000044,C07662,ORD0113520,Account Issue,High,I need help with my account login.,Resolved,Phone,2022-10-04 04:00:00,2022-10-07 09:00:00,E00051,4.0
TKT000045,C03454,ORD0132425,Account Issue,Medium,I received the wrong product.,Resolved,Phone,2024-06-22 14:00:00,2024-06-23 05:00:00,E00760,4.0
TKT000046,C06052,ORD0178245,Wrong Item,High,The product quality is very poor.,Open,WhatsApp,2023-12-23 03:00:00,2023-12-27 09:00:00,E00861,4.0
TKT000047,C01156,ORD0149064,Return & Refund,Medium,Delivery is delayed.,Resolved,WhatsApp,2022-03-24 02:00:00,2022-03-25 23:00:00,E00746,4.0
TKT000048,C06607,ORD0101168,Size Exchange,Medium,My payment was deducted but order not confirmed.,Closed,Email,2022-05-19 18:00:00,2022-05-23 11:00:00,E00365,
TKT000049,C08413,ORD0135308,Order Issue,Medium,I need help with my account login.,Resolved,Phone,2024-10-06 21:00:00,2024-10-07 07:00:00,E00008,5.0
TKT000050,C07714,ORD0111212,Order Issue,Medium,I want to return the item.,In Progress,WhatsApp,2022-07-27 10:00:00,2022-07-31 13:00:00,E02477,2.0
TKT000051,C00274,ORD0149790,Wrong Item,Low,I received the wrong product.,Open,Phone,2022-04-22 03:00:00,2022-04-24 08:00:00,E01533,
TKT000052,C06111,ORD0083819,Wrong Item,Medium,My payment was deducted but order not confirmed.,Open,Phone,2023-03-12 20:00:00,2023-03-15 13:00:00,E00670,2.0
TKT000053,C02693,ORD0094291,Order Issue,Medium,Discount coupon not applied.,In Progress,WhatsApp,2022-01-28 15:00:00,2022-01-31 00:00:00,E02129,4.0
TKT000054,C00763,ORD0084128,Order Issue,Medium,The size I received is different from what I ordered.,Resolved,Email,2022-02-18 21:00:00,2022-02-23 00:00:00,E00925,3.0
TKT000055,C01433,ORD0009383,Order Issue,High,My payment was deducted but order not confirmed.,Resolved,Email,2022-02-14 13:00:00,2022-02-15 23:00:00,E00412,
TKT000056,C04282,ORD0020789,Wrong Item,Medium,My order has not arrived yet.,In Progress,Chat,2024-08-17 06:00:00,2024-08-20 05:00:00,E02068,
TKT000057,C02178,ORD0178657,Payment Problem,Low,My payment was deducted but order not confirmed.,Resolved,WhatsApp,2023-05-28 00:00:00,2023-05-31 05:00:00,E01711,
TKT000058,C03973,ORD0067593,Payment Problem,High,I need help with my account login.,Resolved,Phone,2024-12-04 09:00:00,2024-12-07 16:00:00,E01142,1.0
TKT000059,C03754,ORD0045723,Payment Problem,Medium,Discount coupon not applied.,Closed,Email,2024-05-21 20:00:00,2024-05-23 02:00:00,E00392,3.0
TKT000060,C04841,ORD0059548,Product Quality,Low,Delivery is delayed.,Escalated,Chat,2022-09-29 22:00:00,2022-10-02 00:00:00,E00936,4.0
TKT000061,C04016,ORD0188405,Return & Refund,Medium,I want to return the item.,Resolved,Email,2022-06-26 02:00:00,2022-06-28 19:00:00,E00457,4.0
TKT000062,C05015,ORD0147957,Account Issue,Medium,I received the wrong product.,Resolved,Phone,2022-04-17 01:00:00,2022-04-19 11:00:00,E02495,3.0
TKT000063,C02498,ORD0053521,Product Quality,Medium,My order has not arrived yet.,Resolved,Chat,2022-06-02 20:00:00,2022-06-02 21:00:00,E01881,4.0
TKT000064,C08175,ORD0026685,Account Issue,High,The product quality is very poor.,In Progress,Email,2022-02-17 02:00:00,2022-02-19 06:00:00,E00365,4.0
TKT000065,C01315,ORD0078258,Delivery Delay,Low,My order has not arrived yet.,Resolved,Email,2023-03-04 19:00:00,2023-03-05 13:00:00,E01685,4.0
TKT000066,C04669,ORD0113966,Delivery Delay,Medium,Delivery is delayed.,Closed,Phone,2023-04-17 05:00:00,2023-04-20 17:00:00,E01846,5.0
TKT000067,C03463,ORD0020532,Order Issue,Medium,The size I received is different from what I ordered.,Open,Phone,2023-07-07 09:00:00,2023-07-07 20:00:00,E01560,4.0
TKT000068,C03584,ORD0173822,Return & Refund,High,Delivery is delayed.,Resolved,Email,2024-01-12 14:00:00,2024-01-13 01:00:00,E01398,3.0
TKT000069,C05423,ORD0068663,Size Exchange,High,I want to return the item.,Resolved,Chat,2024-05-23 10:00:00,2024-05-24 13:00:00,E01418,3.0
TKT000070,C02258,ORD0155541,Wrong Item,Medium,My payment was deducted but order not confirmed.,In Progress,WhatsApp,2024-07-02 02:00:00,2024-07-03 00:00:00,E01558,5.0
TKT000071,C02929,ORD0150905,Product Quality,Critical,I need help with my account login.,Resolved,Phone,2022-03-25 12:00:00,2022-03-26 22:00:00,E01593,3.0
TKT000072,C06936,ORD0057480,Account Issue,Low,Delivery is delayed.,Closed,Email,2023-03-25 21:00:00,2023-03-29 17:00:00,E00871,5.0
TKT000073,C02902,ORD0079985,Account Issue,High,I received the wrong product.,Escalated,WhatsApp,2022-03-02 01:00:00,2022-03-03 06:00:00,E01918,2.0
TKT000074,C06781,ORD0077350,Size Exchange,Low,My payment was deducted but order not confirmed.,Resolved,Phone,2024-12-31 16:00:00,2025-01-02 11:00:00,E01770,2.0
TKT000075,C01575,ORD0032460,Delivery Delay,High,My payment was deducted but order not confirmed.,Resolved,WhatsApp,2024-10-18 01:00:00,2024-10-20 17:00:00,E01498,4.0
TKT000076,C06041,ORD0198497,Delivery Delay,Medium,Product is damaged.,Resolved,Chat,2022-12-05 12:00:00,2022-12-09 08:00:00,E01121,5.0
TKT000077,C08543,ORD0147228,Wrong Item,Medium,My order has not arrived yet.,Resolved,Email,2023-09-08 19:00:00,2023-09-11 13:00:00,E00583,5.0
TKT000078,C05509,ORD0054147,Account Issue,Low,Discount coupon not applied.,Closed,WhatsApp,2023-08-23 09:00:00,2023-08-27 06:00:00,E02301,
TKT000079,C01633,ORD0169492,Order Issue,High,The size I received is different from what I ordered.,In Progress,Phone,2023-08-24 03:00:00,2023-08-24 08:00:00,E01919,5.0
TKT000080,C08054,ORD0114914,Payment Problem,Low,Delivery is delayed.,Resolved,Email,2023-04-05 19:00:00,2023-04-07 00:00:00,E00729,1.0
TKT000081,C02291,ORD0013567,Payment Problem,Critical,Delivery is delayed.,Open,Email,2023-07-22 09:00:00,2023-07-23 02:00:00,E00519,3.0
TKT000082,C08935,ORD0142373,Delivery Delay,High,The size I received is different from what I ordered.,Resolved,Email,2023-01-23 07:00:00,2023-01-25 10:00:00,E01777,
TKT000083,C08234,ORD0118857,Account Issue,High,The size I received is different from what I ordered.,Resolved,Phone,2024-06-05 18:00:00,2024-06-07 17:00:00,E02419,
TKT000084,C06167,ORD0171406,Wrong Item,High,I need help with my account login.,Open,Phone,2022-11-25 11:00:00,2022-11-28 14:00:00,E02038,2.0
TKT000085,C02706,ORD0080117,Product Quality,Medium,Product is damaged.,Resolved,Chat,2022-08-01 09:00:00,2022-08-02 07:00:00,E01743,
TKT000086,C00386,ORD0057241,Return & Refund,Medium,I need help with my account login.,Closed,Chat,2022-02-11 16:00:00,2022-02-14 16:00:00,E00077,
TKT000087,C08511,ORD0007670,Order Issue,Low,Delivery is delayed.,Open,Phone,2023-03-16 10:00:00,2023-03-17 12:00:00,E00080,
TKT000088,C08013,ORD0145068,Product Quality,High,Delivery is delayed.,Open,Chat,2022-08-12 23:00:00,2022-08-16 21:00:00,E00399,2.0
TKT000089,C01816,ORD0050420,Wrong Item,High,Discount coupon not applied.,Open,Email,2023-01-29 19:00:00,2023-01-30 01:00:00,E01597,3.0
TKT000090,C00845,ORD0005156,Delivery Delay,Medium,The size I received is different from what I ordered.,In Progress,Phone,2024-06-01 07:00:00,2024-06-04 13:00:00,E00011,5.0
TKT000091,C04188,ORD0006821,Size Exchange,Low,Product is damaged.,Resolved,Chat,2022-01-07 03:00:00,2022-01-08 12:00:00,E00383,2.0
TKT000092,C05260,ORD0189452,Payment Problem,Low,I want to return the item.,Closed,Email,2022-11-03 06:00:00,2022-11-05 07:00:00,E01571,
TKT000093,C03491,ORD0019214,Delivery Delay,Medium,I want to return the item.,Open,Phone,2022-09-10 12:00:00,2022-09-12 02:00:00,E00067,3.0
TKT000094,C02249,ORD0021577,Order Issue,Medium,My payment was deducted but order not confirmed.,Resolved,WhatsApp,2023-03-15 23:00:00,2023-03-16 02:00:00,E00755,4.0
TKT000095,C08540,ORD0073939,Order Issue,High,I received the wrong product.,In Progress,WhatsApp,2023-02-12 13:00:00,2023-02-15 01:00:00,E02407,4.0
TKT000096,C01931,ORD0094203,Order Issue,Low,Product is damaged.,Open,WhatsApp,2023-12-24 20:00:00,2023-12-28 22:00:00,E01350,
TKT000097,C07767,ORD0155259,Return & Refund,Medium,Delivery is delayed.,Resolved,Phone,2023-11-08 13:00:00,2023-11-10 10:00:00,E00265,3.0
TKT000098,C08822,ORD0060678,Account Issue,Low,The product quality is very poor.,Resolved,WhatsApp,2023-04-15 06:00:00,2023-04-17 15:00:00,E00800,4.0
TKT000099,C03934,ORD0013716,Return & Refund,Low,My payment was deducted but order not confirmed.,In Progress,Phone,2024-02-25 10:00:00,2024-02-29 13:00:00,E02463,
TKT000100,C00882,ORD0065924,Payment Problem,Medium,Discount coupon not applied.,Resolved,Email,2024-03-05 18:00:00,2024-03-07 11:00:00,E01316,5.0
TKT000101,C09181,ORD0012196,Return & Refund,Low,My payment was deducted but order not confirmed.,Resolved,WhatsApp,2023-03-25 19:00:00,2023-03-27 13:00:00,E01721,
TKT000102,C08465,ORD0192989,Order Issue,Low,Product is damaged.,In Progress,WhatsApp,2023-01-25 12:00:00,2023-01-28 22:00:00,E01494,
TKT000103,C09674,ORD0012111,Return & Refund,High,I received the wrong product.,Resolved,Email,2024-09-21 07:00:00,2024-09-23 20:00:00,E02284,3.0
TKT000104,C02505,ORD0190481,Order Issue,High,I received the wrong product.,Open,Email,2023-04-11 20:00:00,2023-04-14 22:00:00,E00158,5.0
TKT000105,C03960,ORD0053591,Payment Problem,Medium,I need help with my account login.,Closed,Phone,2024-09-05 11:00:00,2024-09-08 11:00:00,E02454,2.0
TKT000106,C07686,ORD0130647,Account Issue,Critical,Product is damaged.,Resolved,Email,2022-10-14 06:00:00,2022-10-18 11:00:00,E00925,3.0
TKT000107,C01242,ORD0052282,Account Issue,Medium,I want to return the item.,In Progress,Phone,2024-07-28 09:00:00,2024-08-01 06:00:00,E00006,3.0
TKT000108,C05860,ORD0045730,Delivery Delay,High,I need help with my account login.,Resolved,Chat,2022-07-27 22:00:00,2022-07-30 15:00:00,E02447,
TKT000109,C06445,ORD0151736,Product Quality,Critical,The product quality is very poor.,Open,WhatsApp,2023-11-09 23:00:00,2023-11-13 16:00:00,E00370,
TKT000110,C01195,ORD0133893,Order Issue,Low,The product quality is very poor.,Open,Email,2024-08-31 15:00:00,2024-09-03 13:00:00,E01009,3.0
TKT000111,C09821,ORD0009437,Product Quality,High,The size I received is different from what I ordered.,Open,WhatsApp,2022-03-24 17:00:00,2022-03-29 00:00:00,E02036,3.0
TKT000112,C07239,ORD0028843,Return & Refund,Critical,I need help with my account login.,Resolved,Email,2024-10-04 12:00:00,2024-10-05 13:00:00,E02288,4.0
TKT000113,C08331,ORD0177802,Delivery Delay,Low,Delivery is delayed.,Closed,Chat,2024-04-13 08:00:00,2024-04-16 15:00:00,E00051,
TKT000114,C05492,ORD0171115,Wrong Item,Low,My payment was deducted but order not confirmed.,Resolved,Email,2023-08-04 02:00:00,2023-08-06 13:00:00,E00331,
TKT000115,C01679,ORD0139089,Return & Refund,Critical,I need help with my account login.,Closed,Chat,2024-03-21 08:00:00,2024-03-24 00:00:00,E00939,
TKT000116,C09048,ORD0028211,Account Issue,Medium,My order has not arrived yet.,Closed,WhatsApp,2023-09-12 17:00:00,2023-09-17 04:00:00,E01582,5.0
TKT000117,C01280,ORD0012039,Account Issue,High,Delivery is delayed.,Resolved,Phone,2024-06-05 03:00:00,2024-06-07 00:00:00,E01406,1.0
TKT000118,C01987,ORD0013294,Product Quality,Low,The product quality is very poor.,Closed,WhatsApp,2023-12-24 08:00:00,2023-12-25 18:00:00,E02382,4.0
TKT000119,C02197,ORD0050554,Delivery Delay,High,I want to return the item.,Closed,Email,2022-11-25 08:00:00,2022-11-27 23:00:00,E01613,
